"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold1","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",5,57,81,10,2,2,0,2.43361335540045,2.78501124223834,0.693147180559945,-0.916290731874155,-0.916290731874155
"2","LOC111099033",30,48,32,15,0,15,0,0.470003629245736,0.0645385211375712,-0.693147180559945,NA,-0.693147180559945
"3","LOC111099034",17,21,23,49,NA,NA,0,0.211309093667207,0.302280871872934,1.05860695405441,NA,NA
"4","LOC111099035",35,53,40,69,62,101,0,0.414943852062708,0.133531392624523,0.678758443107846,0.571786323555678,1.05977245535185
"5","LOC111099036",12.5,14.5,33,16,58,20,0,0.148420005118273,0.970778917158225,0.246860077931526,1.53471436623816,0.470003629245736
"6","LOC111099040",30.16,31.92,18,21.16,6.64,17.24,0,0.0567162294418526,-0.516144785243591,-0.354403936149657,-1.51340457965141,-0.559284277904208
"7","LOC111099041",54,56,70,102,62,67,0,0.0363676441708748,0.259511195485085,0.635988766719997,0.138150338480817,0.215708572826692
"8","LOC111099043",9,25,15.5,7,14.5,23,0,1.02165124753198,0.543615446588982,-0.251314428280906,0.476924072090309,0.93826963859293
"9","LOC111099044",59,55,56,NA,NA,NA,0,-0.0702042586732486,-0.0521857531705702,NA,NA,NA
"10","LOC111099045",210,248,407,558,277,569,0,0.166321215447514,0.661705654725126,0.977251431663842,0.27690997546987,0.996772903408862
"11","LOC111099047",13.4285714285714,38.4285714285714,118.285714285714,68.5714285714286,58.2857142857143,46.2857142857143,0,1.05141659733184,2.17571837211526,1.63049132163193,1.46797239213416,1.23744873352233
"12","LOC111099048",7,5,5,4,NA,NA,0,-0.336472236621213,-0.336472236621213,-0.559615787935423,NA,NA
"13","LOC111099050",32,34,48,53,56,34,0,0.0606246218164348,0.405465108108164,0.504556010752395,0.559615787935423,0.0606246218164348
"14","LOC111099051",230,209,NA,NA,NA,NA,0,-0.0957450569583844,NA,NA,NA,NA
"15","LOC111099052",99,96,110,99,61,NA,0,-0.0307716586667537,0.105360515657826,0,-0.484245985961279,NA
"16","LOC111099053",162,281,322,426,270,406,0,0.550758334101362,0.686955210312024,0.966843011036986,0.510825623765991,0.918756824369349
"17","LOC111099056",28.3333333333333,85,56,50,30,9,0,1.09861228866811,0.681312722912943,0.567984037605939,0.0571584138399486,-1.14681439048599
"18","LOC111099060",6.5,10,16,79,70,104,0,0.430782916092454,0.90078654533819,2.49764567556543,2.37669306514777,2.77258872223978
"19","LOC111099062",48,50,143,96,38,14,0,0.0408219945202552,1.09164361935202,0.693147180559945,-0.233614851181505,-1.23214368129263
"20","LOC111099063",15,66,96,101,61,80,0,1.48160454092422,1.85629799036563,1.90707031573905,1.4028236630711,1.67397643357167
"21","LOC111099064",14,11,8,13,22,20,0,-0.241162056816888,-0.559615787935423,-0.0741079721537218,0.451985123743057,0.356674943938732
"22","LOC111099065",17.5,31,54,74,45,109,0,0.571786323555678,1.12678316563481,1.4418642122747,0.944461608840852,1.82914700129968
"23","LOC111099067",46,174,184,225,237,106,0,1.33041390272543,1.38629436111989,1.58745900571533,1.63941874464604,0.834797697622972
"24","LOC111099068",4,23.5,12,8,9.5,NA,0,1.77070606003022,1.09861228866811,0.693147180559945,0.864997437486605,NA
"25","LOC111099069",3,5,6,3,11,7,0,0.510825623765991,0.693147180559945,0,1.29928298413026,0.847297860387204
"26","LOC111099070",3.4,5,3,6,2,1,0,0.385662480811985,-0.125163142954006,0.567984037605939,-0.53062825106217,-1.22377543162212
"27","LOC111099071",36,107,75,91,NA,NA,0,1.0893098960058,0.733969175080201,0.92734056806074,NA,NA
"28","LOC111099073",30,52,63,41,35,12,0,0.550046336919272,0.741937344729377,0.312374685042152,0.154150679827258,-0.916290731874155
"29","LOC111099076",16,10,8,10,14,NA,0,-0.470003629245736,-0.693147180559945,-0.470003629245736,-0.133531392624523,NA
"30","LOC111099079",44,118,167,71,69,59,0,0.986494990547404,1.33380417849849,0.478490243123054,0.449916870678998,0.293347809987458
"31","LOC111099080",2,3,2,7,8,8,0,0.405465108108164,0,1.25276296849537,1.38629436111989,1.38629436111989
"32","LOC111099081",134,261,287,426,NA,NA,0,0.666680607371782,0.76164241580871,1.15659954631846,NA,NA
"33","LOC111099082",135,71,34,NA,NA,NA,0,-0.642594901397114,-1.37891425382227,NA,NA,NA
"34","LOC111099083",31,23,72,NA,NA,NA,0,-0.298492988555997,0.842678914530909,NA,NA,NA
"35","LOC111099088",19,31,20.5,14,NA,NA,0,0.489548225318706,0.0759859069779221,-0.305381649551182,NA,NA
"36","LOC111099091",12,4,3,4,5,6,0,-1.09861228866811,-1.38629436111989,-1.09861228866811,-0.8754687373539,-0.693147180559945
"37","LOC111099092",510,606,953,674,1510,905,0,0.172469260350943,0.625204177935831,0.278819385193936,1.0854542040906,0.573524217981555
"38","LOC111099093",24,53,46,40,52,48,0,0.792238083204176,0.650587566141149,0.510825623765991,0.773189888233482,0.693147180559945
"39","LOC111099095",32.5,47,91,53,115,107,0,0.368907512374367,1.02961941718116,0.48905182421643,1.26369203902756,1.19158874512621
"40","LOC111099097",27.3333333333333,80,53,56,35,19,0,1.07391967607774,0.662184954955979,0.717244732139006,0.24724110289327,-0.363667979429703
"41","LOC111099098",28,10,NA,NA,NA,NA,0,-1.02961941718116,NA,NA,NA,NA
"42","LOC111099101",131,75,78,60,46,41,0,-0.557709209664841,-0.51848849651156,-0.780852760979051,-1.04655592671206,-1.16162525649684
"43","LOC111099102",767,717,613,1300,1561,493,0,-0.0674109607676358,-0.224121865431045,0.527632742082372,0.710595119148176,-0.441977627324566
"44","LOC111099104",88,633,162,136,77,164,0,1.97313360766597,0.610259520754178,0.435318071257845,-0.133531392624523,0.622529613345992
