LOC111099035 rna-XM_022430346.1
LOC111099040 rna-XM_022430378.1
LOC111099047 rna-XM_022430390.1
LOC111099084 rna-XM_022430443.1
LOC111099101 rna-XM_022430466.1
LOC111099106 rna-XM_022430475.1
LOC111099125 rna-XM_022430496.1
LOC111099135 rna-XM_022430517.1
LOC111099152 rna-XM_022430539.1
LOC111099157 rna-XM_022430550.1
LOC111099181 rna-XM_022430591.1
LOC111099198 rna-XR_002633659.1
LOC111099217 rna-XM_022430653.1
LOC111099227 rna-XM_022430668.1
LOC111099230 rna-XM_022430673.1
LOC111099426 rna-XM_022430706.1
LOC111099457 rna-XR_002633686.1
LOC111099463 rna-XM_022430747.1
LOC111099476 rna-XM_022430765.1
LOC111099483 rna-XM_022430773.1
LOC111099488 rna-XR_002633694.1
LOC111099504 rna-XM_022430813.1
LOC111099506 rna-XM_022430814.1
LOC111099508 rna-XR_002633698.1
LOC111099515 rna-XM_022430826.1
LOC111099567 rna-XM_022430885.1
LOC111099569 rna-XM_022430887.1
LOC111099579 rna-XR_002633719.1
LOC111099591 rna-XM_022430919.1
LOC111099596 rna-XM_022430931.1
LOC111099600 rna-XM_022430937.1
LOC111099601 rna-XM_022430939.1
LOC111099602 rna-XM_022430943.1
LOC111099603 rna-XM_022430944.1
LOC111099612 rna-XM_022430968.1
LOC111099614 rna-XM_022430984.1
LOC111099632 rna-XR_002633730.1
LOC111099646 rna-XM_022431010.1
LOC111099674 rna-XM_022431064.1
LOC111099675 rna-XR_002633745.1
LOC111099696 rna-XM_022431104.1
LOC111099706 rna-XR_002633752.1
LOC111099709 rna-XR_002633755.1
LOC111099711 rna-XM_022431121.1
LOC111099721 rna-XM_022431136.1
LOC111099735 rna-XM_022431159.1
LOC111099747 rna-XM_022431201.1
LOC111099765 rna-XM_022431196.1
LOC111099767 rna-XM_022431207.1
LOC111099771 rna-XM_022431213.1
LOC111099781 rna-XM_022431239.1
LOC111099802 rna-XM_022431265.1
LOC111099830 rna-XM_022431294.1
LOC111099841 rna-XM_022431306.1
LOC111099864 rna-XM_022431336.1
LOC111099893 rna-XM_022431387.1
LOC111099899 rna-XM_022431404.1
LOC111099905 rna-XR_002633812.1
LOC111099910 rna-XM_022431420.1
LOC111099913 rna-XR_002633819.1
LOC111099920 rna-XM_022431431.1
LOC111099927 rna-XM_022431444.1
LOC111099944 rna-XM_022431472.1
LOC111099945 rna-XM_022431474.1
LOC111099955 rna-XR_002633827.1
LOC111099965 rna-XM_022431503.1
LOC111099967 rna-XR_002633829.1
LOC111100010 rna-XM_022431572.1
LOC111100030 rna-XM_022431614.1
LOC111100064 rna-XM_022431658.1
LOC111100077 rna-XM_022431679.1
LOC111100078 rna-XR_002633887.1
LOC111100079 rna-XM_022431683.1
LOC111100110 rna-XR_002633895.1
LOC111100111 rna-XR_002633899.1
LOC111100114 rna-XR_002633900.1
LOC111100148 rna-XM_022431782.1
LOC111100176 rna-XM_022431824.1
LOC111100198 rna-XM_022431864.1
LOC111100206 rna-XM_022431872.1
LOC111100209 rna-XR_002633939.1
LOC111100219 rna-XR_002633956.1
LOC111100224 rna-XM_022431884.1
LOC111100227 rna-XM_022431889.1
LOC111100236 rna-XM_022431906.1
LOC111100242 rna-XM_022431926.1
LOC111100278 rna-XM_022431988.1
LOC111100288 rna-XM_022431986.1
LOC111100289 rna-XM_022431993.1
LOC111100293 rna-XM_022432005.1
LOC111100296 rna-XM_022432020.1
LOC111100299 rna-XR_002633974.1
LOC111100304 rna-XM_022432028.1
LOC111100307 rna-XM_022432039.1
LOC111100322 rna-XM_022432061.1
LOC111100329 rna-XM_022432073.1
LOC111100330 rna-XM_022432083.1
LOC111100382 rna-XM_022432173.1
LOC111100387 rna-XR_002634001.1
LOC111100392 rna-XM_022432286.1
LOC111100403 rna-XM_022432232.1
LOC111100408 rna-XR_002634011.1
LOC111100414 rna-XM_022432283.1
LOC111100415 rna-XM_022432287.1
LOC111100418 rna-XM_022432292.1
LOC111100424 rna-XM_022432307.1
LOC111100426 rna-XM_022432312.1
LOC111100440 rna-XM_022432337.1
LOC111100465 rna-XM_022432372.1
LOC111100472 rna-XR_002634039.1
LOC111100481 rna-XM_022432418.1
LOC111100486 rna-XM_022432429.1
LOC111100491 rna-XM_022432439.1
LOC111100494 rna-XM_022432444.1
LOC111100523 rna-XM_022432496.1
LOC111100549 rna-XM_022432540.1
LOC111100564 rna-XM_022432566.1
LOC111100568 rna-XM_022432574.1
LOC111100570 rna-XM_022432583.1
LOC111100577 rna-XM_022432597.1
LOC111100623 rna-XM_022432688.1
LOC111100625 rna-XM_022432713.1
LOC111100628 rna-XM_022432703.1
LOC111100634 rna-XM_022432715.1
LOC111100734 rna-XM_022432817.1
LOC111100752 rna-XM_022432844.1
LOC111100765 rna-XM_022432859.1
LOC111100788 rna-XM_022432882.1
LOC111100790 rna-XM_022432888.1
LOC111100802 rna-XR_002634081.1
LOC111100815 rna-XM_022432932.1
LOC111100819 rna-XM_022432943.1
LOC111100830 rna-XR_002634091.1
LOC111100838 rna-XR_002634106.1
LOC111100840 rna-XR_002634116.1
LOC111100887 rna-XM_022433034.1
LOC111100894 rna-XM_022433041.1
LOC111100897 rna-XM_022433062.1
LOC111100907 rna-XR_002634130.1
LOC111100913 rna-XM_022433089.1
