LOC111099045 rna-XM_022430381.1
LOC111099056 rna-XM_022430399.1
LOC111099081 rna-XM_022430438.1
LOC111099095 rna-XM_022430455.1
LOC111099097 rna-XM_022430459.1
LOC111099106 rna-XM_022430473.1
LOC111099122 rna-XM_022430489.1
LOC111099147 rna-XM_022430531.1
LOC111099150 rna-XM_022430535.1
LOC111099152 rna-XM_022430540.1
LOC111099157 rna-XM_022430552.1
LOC111099171 rna-XM_022430577.1
LOC111099174 rna-XM_022430586.1
LOC111099194 rna-XM_022430607.1
LOC111099196 rna-XM_022430623.1
LOC111099206 rna-XM_022430638.1
LOC111099217 rna-XM_022430663.1
LOC111099220 rna-XM_022430652.1
LOC111099222 rna-XM_022430660.1
LOC111099227 rna-XM_022430667.1
LOC111099375 rna-XM_022430685.1
LOC111099420 rna-XM_022430710.1
LOC111099426 rna-XM_022430707.1
LOC111099438 rna-XM_022430722.1
LOC111099443 rna-XM_022430726.1
LOC111099457 rna-XR_002633684.1
LOC111099459 rna-XM_022430752.1
LOC111099476 rna-XM_022430764.1
LOC111099481 rna-XM_022430784.1
LOC111099486 rna-XM_022430780.1
LOC111099488 rna-XR_002633693.1
LOC111099504 rna-XM_022430810.1
LOC111099511 rna-XM_022430821.1
LOC111099519 rna-XM_022430831.1
LOC111099532 rna-XR_002633703.1
LOC111099563 rna-XM_022430878.1
LOC111099567 rna-XM_022430885.1
LOC111099569 rna-XM_022430886.1
LOC111099577 rna-XM_022430895.1
LOC111099579 rna-XM_022430898.1
LOC111099587 rna-XM_022430910.1
LOC111099591 rna-XM_022430921.1
LOC111099594 rna-XM_022430932.1
LOC111099596 rna-XM_022430929.1
LOC111099600 rna-XM_022430936.1
LOC111099601 rna-XM_022430939.1
LOC111099603 rna-XM_022430944.1
LOC111099610 rna-XM_022430961.1
LOC111099612 rna-XM_022430967.1
LOC111099614 rna-XM_022430976.1
LOC111099615 rna-XM_022430972.1
LOC111099639 rna-XM_022431002.1
LOC111099650 rna-XM_022431016.1
LOC111099659 rna-XM_022431039.1
LOC111099674 rna-XM_022431065.1
LOC111099688 rna-XM_022431084.1
LOC111099692 rna-XM_022431091.1
LOC111099696 rna-XM_022431104.1
LOC111099706 rna-XR_002633754.1
LOC111099721 rna-XM_022431133.1
LOC111099733 rna-XR_002633767.1
LOC111099746 rna-XM_022431177.1
LOC111099765 rna-XM_022431196.1
LOC111099781 rna-XM_022431238.1
LOC111099789 rna-XM_022431249.1
LOC111099794 rna-XM_022431257.1
LOC111099795 rna-XM_022431260.1
LOC111099808 rna-XM_022431283.1
LOC111099822 rna-XM_022431286.1
LOC111099841 rna-XM_022431305.1
LOC111099852 rna-XM_022431323.1
LOC111099864 rna-XM_022431338.1
LOC111099888 rna-XM_022431380.1
LOC111099893 rna-XM_022431387.1
LOC111099905 rna-XM_022431413.1
LOC111099910 rna-XM_022431420.1
LOC111099913 rna-XR_002633819.1
LOC111099927 rna-XM_022431444.1
LOC111099944 rna-XM_022431472.1
LOC111099947 rna-XM_022431477.1
LOC111099952 rna-XM_022431480.1
LOC111099955 rna-XR_002633827.1
LOC111099956 rna-XM_022431486.1
LOC111099959 rna-XM_022431491.1
LOC111099965 rna-XM_022431499.1
LOC111099980 rna-XM_022431519.1
LOC111099995 rna-XM_022431547.1
LOC111100010 rna-XM_022431570.1
LOC111100013 rna-XM_022431578.1
LOC111100028 rna-XM_022431611.1
LOC111100032 rna-XM_022431618.1
LOC111100034 rna-XM_022431648.1
LOC111100054 rna-XM_022431646.1
LOC111100065 rna-XM_022431670.1
LOC111100079 rna-XM_022431684.1
LOC111100090 rna-XM_022431702.1
LOC111100100 rna-XM_022431717.1
LOC111100111 rna-XR_002633899.1
LOC111100118 rna-XM_022431735.1
LOC111100120 rna-XR_002633903.1
LOC111100121 rna-XM_022431745.1
LOC111100128 rna-XR_002633910.1
LOC111100143 rna-XM_022431770.1
LOC111100152 rna-XM_022431791.1
