LOC111099035 rna-XM_022430345.1
LOC111099040 rna-XM_022430369.1
LOC111099047 rna-XM_022430386.1
LOC111099084 rna-XR_002633625.1
LOC111099101 rna-XM_022430465.1
LOC111099106 rna-XM_022430474.1
LOC111099125 rna-XM_022430498.1
LOC111099135 rna-XM_022430519.1
LOC111099152 rna-XM_022430540.1
LOC111099157 rna-XM_022430556.1
LOC111099181 rna-XM_022430590.1
LOC111099198 rna-XR_002633658.1
LOC111099217 rna-XM_022430671.1
LOC111099227 rna-XM_022430667.1
LOC111099230 rna-XM_022430674.1
LOC111099426 rna-XM_022430705.1
LOC111099457 rna-XR_002633678.1
LOC111099463 rna-XM_022430750.1
LOC111099476 rna-XM_022430764.1
LOC111099483 rna-XM_022430772.1
LOC111099488 rna-XR_002633693.1
LOC111099504 rna-XM_022430809.1
LOC111099506 rna-XM_022430815.1
LOC111099508 rna-XM_022430817.1
LOC111099515 rna-XM_022430825.1
LOC111099567 rna-XM_022430884.1
LOC111099569 rna-XM_022430886.1
LOC111099579 rna-XM_022430899.1
LOC111099591 rna-XM_022430921.1
LOC111099596 rna-XM_022430929.1
LOC111099600 rna-XM_022430938.1
LOC111099601 rna-XM_022430941.1
LOC111099602 rna-XM_022430942.1
LOC111099603 rna-XM_022430953.1
LOC111099612 rna-XM_022430969.1
LOC111099614 rna-XM_022430976.1
LOC111099632 rna-XM_022430997.1
LOC111099646 rna-XM_022431012.1
LOC111099674 rna-XM_022431065.1
LOC111099675 rna-XR_002633746.1
LOC111099696 rna-XM_022431106.1
LOC111099706 rna-XR_002633754.1
LOC111099709 rna-XR_002633757.1
LOC111099711 rna-XM_022431124.1
LOC111099721 rna-XM_022431139.1
LOC111099735 rna-XM_022431160.1
LOC111099747 rna-XM_022431208.1
LOC111099765 rna-XM_022431197.1
LOC111099767 rna-XM_022431203.1
LOC111099771 rna-XM_022431214.1
LOC111099781 rna-XM_022431237.1
LOC111099802 rna-XM_022431267.1
LOC111099830 rna-XM_022431295.1
LOC111099841 rna-XM_022431305.1
LOC111099864 rna-XM_022431338.1
LOC111099893 rna-XM_022431388.1
LOC111099899 rna-XM_022431403.1
LOC111099905 rna-XM_022431413.1
LOC111099910 rna-XM_022431419.1
LOC111099913 rna-XR_002633818.1
LOC111099920 rna-XM_022431432.1
LOC111099927 rna-XM_022431445.1
LOC111099944 rna-XM_022431471.1
LOC111099945 rna-XM_022431473.1
LOC111099955 rna-XR_002633828.1
LOC111099965 rna-XM_022431499.1
LOC111099967 rna-XM_022431504.1
LOC111100010 rna-XM_022431569.1
LOC111100030 rna-XR_002633861.1
LOC111100064 rna-XM_022431657.1
LOC111100077 rna-XM_022431680.1
LOC111100078 rna-XM_022431682.1
LOC111100079 rna-XM_022431684.1
LOC111100110 rna-XR_002633896.1
LOC111100111 rna-XR_002633898.1
LOC111100114 rna-XR_002633902.1
LOC111100148 rna-XM_022431786.1
LOC111100176 rna-XM_022431826.1
LOC111100198 rna-XM_022431863.1
LOC111100206 rna-XM_022431873.1
LOC111100209 rna-XR_002633940.1
LOC111100219 rna-XM_022431890.1
LOC111100224 rna-XM_022431886.1
LOC111100227 rna-XM_022431892.1
LOC111100236 rna-XM_022431905.1
LOC111100242 rna-XM_022431927.1
LOC111100278 rna-XM_022432007.1
LOC111100288 rna-XM_022431990.1
LOC111100289 rna-XM_022431995.1
LOC111100293 rna-XM_022432003.1
LOC111100296 rna-XM_022432019.1
LOC111100299 rna-XM_022432023.1
LOC111100304 rna-XM_022432027.1
LOC111100307 rna-XM_022432038.1
LOC111100322 rna-XR_002633988.1
LOC111100329 rna-XM_022432076.1
LOC111100330 rna-XM_022432079.1
LOC111100382 rna-XM_022432174.1
LOC111100387 rna-XM_022432183.1
LOC111100392 rna-XM_022432268.1
LOC111100403 rna-XM_022432236.1
LOC111100408 rna-XM_022432269.1
LOC111100414 rna-XM_022432282.1
LOC111100415 rna-XM_022432285.1
LOC111100418 rna-XM_022432291.1
LOC111100424 rna-XM_022432306.1
LOC111100426 rna-XM_022432311.1
LOC111100440 rna-XM_022432336.1
LOC111100465 rna-XM_022432366.1
LOC111100472 rna-XR_002634040.1
LOC111100481 rna-XM_022432412.1
LOC111100486 rna-XM_022432434.1
LOC111100491 rna-XM_022432441.1
LOC111100494 rna-XM_022432445.1
LOC111100523 rna-XM_022432487.1
LOC111100549 rna-XM_022432542.1
LOC111100564 rna-XM_022432565.1
LOC111100568 rna-XM_022432577.1
LOC111100570 rna-XM_022432581.1
LOC111100577 rna-XM_022432610.1
LOC111100623 rna-XM_022432689.1
LOC111100625 rna-XM_022432700.1
LOC111100628 rna-XM_022432701.1
LOC111100634 rna-XM_022432718.1
LOC111100734 rna-XM_022432827.1
LOC111100752 rna-XM_022432846.1
LOC111100765 rna-XM_022432858.1
LOC111100788 rna-XM_022432883.1
LOC111100790 rna-XM_022432886.1
LOC111100802 rna-XM_022432920.1
LOC111100815 rna-XM_022432933.1
LOC111100819 rna-XM_022432942.1
LOC111100830 rna-XR_002634093.1
LOC111100838 rna-XR_002634103.1
LOC111100840 rna-XR_002634112.1
LOC111100887 rna-XM_022433033.1
LOC111100894 rna-XM_022433043.1
LOC111100897 rna-XM_022433063.1
LOC111100907 rna-XM_022433083.1
LOC111100913 rna-XM_022433088.1
LOC111100915 rna-XM_022433091.1
LOC111100924 rna-XM_022433103.1
LOC111100940 rna-XM_022433128.1
LOC111100977 rna-XM_022433163.1
LOC111100983 rna-XM_022433171.1
LOC111100993 rna-XM_022433195.1
LOC111101001 rna-XM_022433206.1
LOC111101006 rna-XM_022433212.1
LOC111101011 rna-XM_022433220.1
LOC111101014 rna-XR_002634166.1
LOC111101018 rna-XM_022433225.1
LOC111101021 rna-XM_022433231.1
LOC111101036 rna-XM_022433291.1
LOC111101040 rna-XM_022433295.1
LOC111101049 rna-XR_002634176.1
LOC111101060 rna-XM_022433334.1
LOC111101067 rna-XM_022433345.1
LOC111101080 rna-XM_022433365.1
LOC111101102 rna-XM_022433406.1
LOC111101103 rna-XM_022433410.1
LOC111101113 rna-XM_022433423.1
LOC111101121 rna-XM_022433437.1
LOC111101163 rna-XM_022433512.1
LOC111101190 rna-XM_022433561.1
LOC111101212 rna-XM_022433600.1
LOC111101251 rna-XR_002634218.1
LOC111101258 rna-XM_022433694.1
LOC111101270 rna-XR_002634226.1
LOC111101276 rna-XM_022433718.1
LOC111101301 rna-XM_022433745.1
LOC111101312 rna-XR_002634254.1
LOC111101349 rna-XM_022433805.1
LOC111101390 rna-XM_022433862.1
LOC111101420 rna-XM_022433909.1
LOC111101433 rna-XM_022433920.1
LOC111101435 rna-XM_022433925.1
LOC111101448 rna-XR_002634288.1
LOC111101458 rna-XM_022433956.1
LOC111101470 rna-XM_022433975.1
LOC111101518 rna-XM_022434042.1
LOC111101526 rna-XR_002634310.1
LOC111101541 rna-XM_022434063.1
LOC111101550 rna-XM_022434084.1
LOC111101584 rna-XM_022434114.1
LOC111101588 rna-XM_022434118.1
LOC111101601 rna-XR_002634335.1
LOC111101607 rna-XM_022434144.1
LOC111101612 rna-XM_022434158.1
LOC111101621 rna-XM_022434180.1
LOC111101629 rna-XR_002634344.1
LOC111101659 rna-XM_022434245.1
LOC111101682 rna-XM_022434267.1
