gene_name	t_name	Predom_exp
ATP6	gene-ATP6	168.1429404
COX1	gene-COX1	391.711256
COX2	gene-COX2	469.952397
COX3	gene-COX3	317.3457539
CYTB	gene-CYTB	572.9543073
LOC111099029	rna-XM_022458270.1	2.7177601
LOC111099030	rna-XM_022430679.1	7.1210692
LOC111099031	rna-XM_022430340.1	2.7255408
LOC111099032	rna-XM_022430343.1	11.5618458
LOC111099033	rna-XM_022430347.1	5.4870448
LOC111099034	rna-XM_022430344.1	5.8972044
LOC111099035	rna-XM_022430345.1	2.6180481
LOC111099036	rna-XM_022430348.1	4.7183379
LOC111099037	rna-XM_022430350.1	24.9268369
LOC111099038	rna-XR_002633618.1	5.548879
LOC111099039	rna-XM_022430351.1	9.2097657
LOC111099040	rna-XM_022430378.1	5.1377836
LOC111099041	rna-XM_022430360.1	4.2431655
LOC111099042	rna-XR_002633619.1	10.3190543
LOC111099043	rna-XM_022430379.1	15.4080511
LOC111099044	rna-XM_022430382.1	2.9145149
LOC111099045	rna-XM_022430381.1	4.9458341
LOC111099046	rna-XM_022430424.1	0.9035773
LOC111099047	rna-XM_022430390.1	5.025095
LOC111099048	rna-XM_022430391.1	5.4402527
LOC111099049	rna-XM_022430403.1	7.7508687
LOC111099050	rna-XM_022430392.1	8.9070463
LOC111099051	rna-XR_002633621.1	3.9659822
LOC111099052	rna-XM_022430393.1	6.2451167
LOC111099053	rna-XM_022430394.1	9.6764379
LOC111099054	rna-XM_022430396.1	10.0401189
LOC111099055	rna-XM_022430397.1	5.8413325
LOC111099056	rna-XM_022430399.1	3.8506568
LOC111099057	rna-XM_022430401.1	5.938731
LOC111099058	rna-XM_022430402.1	10.9877847
LOC111099059	rna-XM_022430404.1	7.0286212
LOC111099060	rna-XM_022430407.1	9.2298325
LOC111099061	rna-XM_022430409.1	17.487506
LOC111099062	rna-XM_022430410.1	4.9266825
LOC111099063	rna-XM_022430411.1	7.052269
LOC111099064	rna-XM_022430414.1	10.4368715
LOC111099065	rna-XR_002633622.1	5.1822237
LOC111099066	rna-XM_022430413.1	6.5138841
LOC111099067	rna-XM_022430415.1	11.8665299
LOC111099068	rna-XM_022430416.1	7.3928484
LOC111099069	rna-XM_022430418.1	5.4251648
LOC111099070	rna-XM_022430419.1	7.6459027
LOC111099071	rna-XM_022430428.1	8.9482753
LOC111099072	rna-XM_022430425.1	8.112391
LOC111099073	rna-XM_022430426.1	8.1708275
LOC111099074	rna-XM_022430427.1	2.7409639
LOC111099075	rna-XR_002633624.1	9.4950826
LOC111099076	rna-XM_022430429.1	8.3302412
LOC111099077	rna-XM_022430431.1	14.4134161
LOC111099078	rna-XM_022430432.1	0.2278971
LOC111099079	rna-XM_022430440.1	11.3145539
LOC111099080	rna-XM_022430437.1	12.5872322
LOC111099081	rna-XM_022430438.1	7.9013317
LOC111099082	rna-XM_022430441.1	14.5652755
LOC111099083	rna-XM_022430442.1	10.5106011
LOC111099084	rna-XR_002633625.1	1.6032838
LOC111099085	rna-XR_002633626.1	0.9105141
LOC111099086	rna-XR_002633627.1	0
LOC111099087	rna-XM_022430445.1	5.2644256
LOC111099088	rna-XM_022430450.1	8.5640756
LOC111099089	rna-XR_002633628.1	1.7908342
LOC111099090	rna-XM_022430449.1	7.0303543
LOC111099091	rna-XM_022430451.1	4.9196401
LOC111099092	rna-XM_022430452.1	4.6429198
LOC111099093	rna-XM_022430453.1	47.9566294
LOC111099094	rna-XR_002633629.1	7.7260133
LOC111099095	rna-XM_022430455.1	7.7914095
LOC111099096	rna-XM_022430456.1	2.5989551
LOC111099097	rna-XM_022430459.1	1.858032
LOC111099098	rna-XM_022430461.1	8.3295789
LOC111099099	rna-XM_022430462.1	9.1921449
LOC111099100	gene-LOC111099100	7.1142603
LOC111099101	rna-XM_022430465.1	6.3331904
LOC111099102	rna-XM_022430470.1	6.0822441
LOC111099103	rna-XM_022430468.1	8.7456708
LOC111099104	rna-XM_022430471.1	10.2886676
LOC111099105	rna-XM_022430472.1	4.2434465
LOC111099106	rna-XM_022430473.1	9.192254
LOC111099107	rna-XM_022430477.1	9.6526334
LOC111099108	rna-XM_022430478.1	34.4888904
LOC111099109	rna-XM_022430482.1	6.7877394
LOC111099110	rna-XM_022430479.1	7.100605
LOC111099111	rna-XM_022430480.1	9.4208179
LOC111099112	rna-XM_022430481.1	7.8967111
LOC111099113	rna-XR_002633630.1	5.6196875
LOC111099114	rna-XR_002633631.1	10.7980803
LOC111099115	rna-XM_022430483.1	6.1754697
LOC111099116	rna-XM_022430484.1	6.2842632
LOC111099117	rna-XM_022430485.1	8.5821695
LOC111099118	rna-XM_022430486.1	5.4918301
LOC111099119	rna-XM_022430487.1	9.3929633
LOC111099120	rna-XM_022430488.1	8.1309199
LOC111099121	rna-XM_022430492.1	6.317987
LOC111099122	rna-XM_022430489.1	3.0499151
LOC111099123	rna-XM_022430493.1	7.0392213
LOC111099124	rna-XM_022430494.1	7.7977444
LOC111099125	rna-XM_022430498.1	3.0884764
LOC111099126	rna-XM_022430500.1	0.8364596
LOC111099127	rna-XM_022430503.1	12.1424958
LOC111099128	rna-XM_022430506.1	0.9141987
LOC111099129	rna-XR_002633633.1	5.3208477
LOC111099130	rna-XM_022430507.1	5.7424741
LOC111099131	rna-XM_022430508.1	2.4330957
LOC111099132	rna-XR_002633634.1	8.443525
LOC111099133	rna-XM_022430511.1	1.810628
LOC111099134	rna-XM_022430520.1	1.1431792
LOC111099135	rna-XM_022430517.1	3.4071786
