gene_name	t_name	Predom_exp
ATP6	gene-ATP6	98.71285
COX1	gene-COX1	159.495554
COX2	gene-COX2	177.196696
COX3	gene-COX3	154.0915025
CYTB	gene-CYTB	218.464097
LOC111099029	rna-XM_022458270.1	2.4887975
LOC111099030	rna-XM_022430679.1	8.1297515
LOC111099031	rna-XM_022430340.1	3.5993885
LOC111099032	rna-XM_022430343.1	13.075051
LOC111099033	rna-XM_022430347.1	6.9104175
LOC111099034	rna-XM_022430344.1	4.8753715
LOC111099035	rna-XM_022430345.1	2.6057955
LOC111099036	rna-XM_022430348.1	4.8932565
LOC111099037	rna-XM_022430350.1	20.8219055
LOC111099038	rna-XR_002633618.1	7.796212
LOC111099039	rna-XM_022430351.1	11.193241
LOC111099040	rna-XM_022430378.1	4.81957
LOC111099041	rna-XM_022430360.1	4.2657565
LOC111099042	rna-XR_002633619.1	9.3733515
LOC111099043	rna-XM_022430379.1	19.373298
LOC111099044	rna-XM_022430382.1	3.248061
LOC111099045	rna-XM_022430381.1	5.3834885
LOC111099046	rna-XM_022430424.1	1.061144
LOC111099047	rna-XM_022430390.1	6.1574175
LOC111099048	rna-XM_022430391.1	6.416156
LOC111099049	rna-XM_022430403.1	9.240749
LOC111099050	rna-XM_022430392.1	8.910722
LOC111099051	rna-XR_002633621.1	4.0352445
LOC111099052	rna-XM_022430393.1	7.423247
LOC111099053	rna-XM_022430394.1	8.9252475
LOC111099054	rna-XM_022430396.1	10.529127
LOC111099055	rna-XM_022430397.1	6.8419305
LOC111099056	rna-XM_022430399.1	4.555295
LOC111099057	rna-XM_022430401.1	3.1919525
LOC111099058	rna-XM_022430402.1	13.259478
LOC111099059	rna-XM_022430404.1	5.594262
LOC111099060	rna-XM_022430407.1	10.628601
LOC111099061	rna-XM_022430409.1	20.958272
LOC111099062	rna-XM_022430410.1	5.6299685
LOC111099063	rna-XM_022430411.1	7.7309165
LOC111099064	rna-XM_022430414.1	10.668123
LOC111099065	rna-XR_002633622.1	5.0010805
LOC111099066	rna-XM_022430413.1	8.4382915
LOC111099067	rna-XM_022430415.1	11.9654705
LOC111099068	rna-XM_022430416.1	8.51615
LOC111099069	rna-XM_022430418.1	7.398681
LOC111099070	rna-XM_022430419.1	11.167287
LOC111099071	rna-XM_022430428.1	8.07361
LOC111099072	rna-XM_022430425.1	10.146993
LOC111099073	rna-XM_022430426.1	9.249214
LOC111099074	rna-XM_022430427.1	3.3750445
LOC111099075	rna-XR_002633624.1	9.752599
LOC111099076	rna-XM_022430429.1	6.4101455
LOC111099077	rna-XM_022430431.1	18.3484145
LOC111099078	rna-XM_022430432.1	0.27174
LOC111099079	rna-XM_022430440.1	14.0719565
LOC111099080	rna-XM_022430437.1	14.9498545
LOC111099081	rna-XM_022430438.1	9.6762525
LOC111099082	rna-XM_022430441.1	12.8784775
LOC111099083	rna-XM_022430442.1	9.0392935
LOC111099084	rna-XM_022430443.1	2.0864255
LOC111099085	rna-XR_002633626.1	2.82503
LOC111099086	rna-XR_002633627.1	0
LOC111099087	rna-XM_022430445.1	4.214205
