chr	start	end	methylation_mean
cvirNC_007175.2	1	1623	0.94207345
cvirNC_007175.2	2558	3429	0.932598375
cvirNC_007175.2	3647	4859	1.108918
cvirNC_007175.2	4897	5589	1.125866925
cvirNC_007175.2	9518	10192	1.261582175
cvirNC_007175.2	10295	11290	0.99355265
cvirNC_007175.2	11515	12864	1.10826085
cvirNC_007175.2	13126	14793	1.016188325
cvirNC_007175.2	14807	15268	1.266127725
cvirNC_007175.2	15352	15705	1.518740925
cvirNC_007175.2	15959	16894	1.304777125
cvirNC_007175.2	16897	17176	0.99762865
cvirNC_035780.1	13578	14594	12.17582225
cvirNC_035780.1	28961	33324	0.24993385
cvirNC_035780.1	43111	66897	0.9047095
cvirNC_035780.1	85606	95254	0.33416895
cvirNC_035780.1	99840	106460	54.9090525
cvirNC_035780.1	108305	110077	0.23391345
cvirNC_035780.1	151859	157536	0.23518756
cvirNC_035780.1	163809	183798	0.284374975
cvirNC_035780.1	164820	166793	0.2437395425
cvirNC_035780.1	169468	170178	0
cvirNC_035780.1	190449	193594	0.229698275
cvirNC_035780.1	204243	207743	0.2228844225
cvirNC_035780.1	214891	215322	0.6626772825
cvirNC_035780.1	219451	225076	0.39070925
cvirNC_035780.1	227734	231964	0.173981765
cvirNC_035780.1	232863	240144	0.397575175
cvirNC_035780.1	245532	253042	43.5050655
cvirNC_035780.1	258108	272839	83.28933
cvirNC_035780.1	273173	278473	82.753735
cvirNC_035780.1	281547	293861	79.22718
cvirNC_035780.1	297131	311654	80.8869625
cvirNC_035780.1	315522	340261	81.279675
cvirNC_035780.1	341638	349379	67.44729
cvirNC_035780.1	349425	360957	68.4511275
cvirNC_035780.1	366837	370670	11.2312309
cvirNC_035780.1	372174	376974	69.09531
cvirNC_035780.1	380454	392035	3.088961575
cvirNC_035780.1	394983	409280	83.6217975
cvirNC_035780.1	409477	415627	65.9275925
cvirNC_035780.1	444907	453310	0.71039025
cvirNC_035780.1	485479	500367	0.254300025
cvirNC_035780.1	502147	508829	0.290416775
cvirNC_035780.1	511797	526500	0.37048205
cvirNC_035780.1	526525	542191	1.409813975
cvirNC_035780.1	527850	534541	6.811034525
cvirNC_035780.1	544088	573497	78.084375
cvirNC_035780.1	573630	585444	76.8936475
cvirNC_035780.1	604924	622983	83.13702
cvirNC_035780.1	625970	662443	80.3848
cvirNC_035780.1	663525	671754	75.343235
cvirNC_035780.1	671959	675504	68.1111375
cvirNC_035780.1	682820	730982	5.48426325
cvirNC_035780.1	686400	724737	3.335023525
cvirNC_035780.1	731072	776437	74.939835
cvirNC_035780.1	777050	782032	52.45733
cvirNC_035780.1	786318	790538	0.93208225
cvirNC_035780.1	790827	792748	23.63184675
cvirNC_035780.1	794545	800915	0.24255445
cvirNC_035780.1	802779	829369	2.07268725
cvirNC_035780.1	831309	836828	0.051187395
cvirNC_035780.1	841204	844397	0.261151225
