chr	start	end	methylation_mean
cvirNC_007175.2	1	1623	1.12790795
cvirNC_007175.2	2558	3429	1.00775185714286
cvirNC_007175.2	3647	4859	1.16903709285714
cvirNC_007175.2	4897	5589	1.16247086428571
cvirNC_007175.2	9518	10192	1.3189987
cvirNC_007175.2	10295	11290	1.12327152857143
cvirNC_007175.2	11515	12864	1.21327631428571
cvirNC_007175.2	13126	14793	1.21633042142857
cvirNC_007175.2	14807	15268	1.19760076428571
cvirNC_007175.2	15352	15705	1.74934185
cvirNC_007175.2	15959	16894	1.37086263571429
cvirNC_007175.2	16897	17176	1.24859232857143
cvirNC_035780.1	13578	14594	12.9820390833333
cvirNC_035780.1	28961	33324	0.323867207142857
cvirNC_035780.1	43111	66897	0.260555578571429
cvirNC_035780.1	85606	95254	0.35322005
cvirNC_035780.1	99840	106460	44.1914771428571
cvirNC_035780.1	108305	110077	0.308209721428571
cvirNC_035780.1	151859	157536	0.2591537
cvirNC_035780.1	163809	183798	0.73932005
cvirNC_035780.1	164820	166793	5.24879360428571
cvirNC_035780.1	169468	170178	1.17726174166667
cvirNC_035780.1	190449	193594	0.24249657
cvirNC_035780.1	204243	207743	0.241626870714286
cvirNC_035780.1	214891	215322	0.253055847142857
cvirNC_035780.1	219451	225076	0.573823778571429
cvirNC_035780.1	227734	231964	0.231233651428571
cvirNC_035780.1	232863	240144	0.634803535714286
cvirNC_035780.1	245532	253042	25.8388088571429
cvirNC_035780.1	258108	272839	79.9738221428571
cvirNC_035780.1	273173	278473	76.8771971428571
cvirNC_035780.1	281547	293861	75.8462235714286
cvirNC_035780.1	297131	311654	74.8157057142857
cvirNC_035780.1	315522	340261	69.7709985714286
cvirNC_035780.1	341638	349379	56.2275742857143
cvirNC_035780.1	349425	360957	58.1181471428571
cvirNC_035780.1	366837	370670	20.3840064428571
cvirNC_035780.1	372174	376974	58.5397342857143
cvirNC_035780.1	380454	392035	4.80082965
cvirNC_035780.1	394983	409280	76.9832878571429
cvirNC_035780.1	409477	415627	65.4680271428571
cvirNC_035780.1	444907	453310	1.32617953571429
cvirNC_035780.1	485479	500367	0.761619121428571
cvirNC_035780.1	502147	508829	0.26252425
cvirNC_035780.1	511797	526500	0.285866378571429
cvirNC_035780.1	526525	542191	1.2224453
cvirNC_035780.1	527850	534541	7.00401225714286
cvirNC_035780.1	544088	573497	72.0689107142857
cvirNC_035780.1	573630	585444	75.6419592857143
cvirNC_035780.1	604924	622983	74.4095664285714
cvirNC_035780.1	625970	662443	63.2064621428571
cvirNC_035780.1	663525	671754	71.12861
cvirNC_035780.1	671959	675504	59.55563
cvirNC_035780.1	682820	730982	3.03664828571429
cvirNC_035780.1	686400	724737	2.29278447142857
cvirNC_035780.1	731072	776437	55.1207828571429
cvirNC_035780.1	777050	782032	64.366585
cvirNC_035780.1	786318	790538	1.01055385
cvirNC_035780.1	790827	792748	16.4811695714286
cvirNC_035780.1	794545	800915	0.283389392857143
cvirNC_035780.1	802779	829369	2.01051773571429
cvirNC_035780.1	831309	836828	0.254610932142857
cvirNC_035780.1	841204	844397	0.283379671428571
cvirNC_035780.1	848082	854748	0.323152428571429
cvirNC_035780.1	860083	865303	0.400506121428571
cvirNC_035780.1	866950	870208	0.253840362857143
cvirNC_035780.1	873286	876502	0.259751809285714
cvirNC_035780.1	884611	885996	0.227817278571429
cvirNC_035780.1	886637	897738	0.40102435
cvirNC_035780.1	900326	903430	1.59579037857143
cvirNC_035780.1	904241	905671	1.44031660357143
cvirNC_035780.1	908503	921086	71.88754
cvirNC_035780.1	921228	923103	20.0065135714286
cvirNC_035780.1	927409	934670	0.310144928571429
cvirNC_035780.1	938662	951816	73.4068421428571
cvirNC_035780.1	957967	963094	0.793785771428571
cvirNC_035780.1	962702	964602	20.1539490785714
cvirNC_035780.1	970363	981628	0.504099064285714
cvirNC_035780.1	984471	995318	72.009795
cvirNC_035780.1	995489	1008165	59.9940792857143
cvirNC_035780.1	1038480	1053423	1.08900534285714
cvirNC_035780.1	1101448	1190874	1.20730437142857
cvirNC_035780.1	1229194	1261514	2.62519935
cvirNC_035780.1	1280831	1282416	0.230278637857143
cvirNC_035780.1	1321893	1323311	0
cvirNC_035780.1	1332677	1336216	0.263953228571429
cvirNC_035780.1	1357834	1359771	3.2591529
cvirNC_035780.1	1389975	1399847	2.02263399285714
cvirNC_035780.1	1432944	1458091	2.19663573571429
cvirNC_035780.1	1449970	1456485	1.54408792142857
cvirNC_035780.1	1503802	1513830	0.356949544285714
cvirNC_035780.1	1513765	1522483	0.687072328571429
cvirNC_035780.1	1543472	1545772	7.61445806357143
cvirNC_035780.1	1547067	1548720	7.738508
cvirNC_035780.1	1575100	1575558	0.321516228571429
cvirNC_035780.1	1584884	1591482	0.983343678571429
