gene_name,change,t_name,Predom_exp,GO,p.value,product
LOC111099157,1,rna-XM_022430550.1,2.0294685625,GO:0051056,6.2e-09,rap1 GTPase-activating protein 1-like
LOC111110083,1,rna-XM_022446425.1,3.019377625,GO:0051056,6.2e-09,SLIT-ROBO Rho GTPase-activating protein 1-like
LOC111110347,1,rna-XM_022446818.1,3.209487875,GO:0051056,6.2e-09,SLIT-ROBO Rho GTPase-activating protein 1-like
LOC111110867,1,rna-XM_022447516.1,10.3748903125,GO:0051056,6.2e-09,rho GTPase-activating protein 21-like
LOC111111520,1,rna-XM_022448540.1,12.4231134375,GO:0051056,6.2e-09,rho GTPase-activating protein 21-like
LOC111120921,1,rna-XM_022461967.1,3.66571275,GO:0051056,6.2e-09,tuberin-like
LOC111125663,1,rna-XM_022469692.1,1.2734543125,GO:0051056,6.2e-09,GTPase-activating Rap/Ran-GAP domain-like protein 3
LOC111129079,1,rna-XM_022475164.1,1.469558,GO:0051056,6.2e-09,ral GTPase-activating protein subunit beta-like
LOC111129117,1,rna-XM_022475244.1,2.264409875,GO:0051056,6.2e-09,signal-induced proliferation-associated 1-like protein 2
LOC111129967,1,rna-XM_022476531.1,2.1979463125,GO:0051056,6.2e-09,ral GTPase-activating protein subunit alpha-1-like
LOC111133350,1,rna-XM_022481673.1,8.595877,GO:0051056,6.2e-09,pleckstrin homology domain-containing family G member 5-like
LOC111133403,1,rna-XM_022481800.1,2.225071125,GO:0051056,6.2e-09,rap1 GTPase-activating protein 1-like
LOC111136106,1,rna-XM_022486782.1,7.126182625,GO:0051056,6.2e-09,rho GTPase-activating protein 39-like
LOC111137825,1,rna-XM_022489506.1,4.0450214375,GO:0051056,6.2e-09,protein piccolo-like
NA,NA,NA,NA,GO:1902531,5.1e-07,NA
NA,NA,NA,NA,GO:0061061,1.0e-06,NA
LOC111103234,1,rna-XM_022436318.1,1.5305634375,GO:0042692,1.2e-06,ubiquinone biosynthesis protein COQ9
LOC111103518,1,rna-XM_022436854.1,3.0810581875,GO:0042692,1.2e-06,ubiquinone biosynthesis protein COQ9
LOC111127118,1,rna-XM_022472170.1,1.313708875,GO:0042692,1.2e-06,nuclear receptor ROR-beta-like
LOC111128424,1,rna-XM_022474022.1,1.9967371875,GO:0042692,1.2e-06,probable nuclear hormone receptor HR3
LOC111128979,1,rna-XM_022474975.1,4.285948625,GO:0042692,1.2e-06,nesprin-1-like
NA,NA,NA,NA,GO:0032501,2.0e-06,NA
LOC111099830,1,rna-XM_022431295.1,0.351729625,GO:0009966,5.0e-06,uncharacterized LOC111099830
LOC111105324,1,rna-XM_022439550.1,3.8497165625,GO:0009966,5.0e-06,runt-related transcription factor 1-like
LOC111105579,1,rna-XM_022439937.1,0.246710125,GO:0009966,5.0e-06,receptor-type tyrosine-protein phosphatase eta-like
LOC111132603,1,rna-XM_022480446.1,0.41582425,GO:0009966,5.0e-06,uncharacterized LOC111132603
LOC111135376,1,rna-XM_022485384.1,0.4037613125,GO:0009966,5.0e-06,uncharacterized LOC111135376
LOC111137602,1,rna-XM_022489130.1,13.106179,GO:0009966,5.0e-06,uncharacterized LOC111137602
LOC111100148,1,rna-XM_022431782.1,0.9161145,GO:0007264,6.5e-06,1-phosphatidylinositol 4
LOC111103824,1,rna-XM_022437347.1,4.672826125,GO:0007264,6.5e-06,rho GTPase-activating protein 1-like
LOC111106755,1,rna-XM_022441568.1,0.5178795,GO:0007264,6.5e-06,serine/threonine-protein kinase PAK 3-like
LOC111108503,1,rna-XM_022444437.1,1.0484741875,GO:0007264,6.5e-06,uncharacterized LOC111108503
LOC111112629,1,rna-XM_022450276.1,0.4836644375,GO:0007264,6.5e-06,uncharacterized LOC111112629
LOC111114834,1,rna-XM_022453330.1,0.0368563125,GO:0007264,6.5e-06,ADP-ribosylation factor-like
LOC111119511,1,rna-XM_022459719.1,3.61095175,GO:0007264,6.5e-06,dedicator of cytokinesis protein 7-like
LOC111119547,1,rna-XM_022459794.1,0.098728875,GO:0007264,6.5e-06,ADP-ribosylation factor 3-like
LOC111121981,1,rna-XM_022463484.1,0.95646325,GO:0007264,6.5e-06,uncharacterized LOC111121981
LOC111122641,1,rna-XM_022464487.1,3.803753375,GO:0007264,6.5e-06,rab-like protein 6
LOC111125555,1,rna-XM_022469486.1,3.1168245,GO:0007264,6.5e-06,arfaptin-2-like
LOC111127075,1,rna-XM_022472080.1,2.8703814375,GO:0007264,6.5e-06,protein tumorous imaginal discs
LOC111128533,1,rna-XM_022474177.1,2.5033244375,GO:0007264,6.5e-06,leucine-rich repeat serine/threonine-protein kinase 1-like
LOC111132798,1,rna-XM_022480621.1,16.4229034375,GO:0000003,6.8e-06,serine/threonine-protein kinase mig-15-like
LOC111123992,1,rna-XM_022466804.1,0.6884341875,GO:0022414,8.1e-06,furin-like protease kpc-1
NA,NA,NA,NA,GO:0035556,9.2e-06,NA
NA,NA,NA,NA,GO:0050789,1.1e-05,NA
NA,NA,NA,NA,GO:0032989,1.3e-05,NA
NA,NA,NA,NA,GO:0023051,1.4e-05,NA
LOC111122665,1,rna-XM_022464524.1,0.2984210625,GO:0048870,1.6e-05,uncharacterized LOC111122665
LOC111132787,1,rna-XM_022480610.1,3.597936125,GO:0048870,1.6e-05,engulfment and cell motility protein 2-like
NA,NA,NA,NA,GO:0010646,1.8e-05,NA
NA,NA,NA,NA,GO:0065007,1.8e-05,NA
LOC111099101,1,rna-XM_022430465.1,4.5054673125,GO:0007409,2.1e-05,serine/threonine-protein kinase unc-51-like
LOC111100304,1,rna-XM_022432027.1,0.030648875,GO:0007409,2.1e-05,ankyrin-3-like
LOC111100577,1,rna-XM_022432610.1,0.5324264375,GO:0007409,2.1e-05,uncharacterized LOC111100577
LOC111100765,1,rna-XM_022432858.1,2.6328050625,GO:0007409,2.1e-05,plectin-like
LOC111103244,1,rna-XM_022436350.1,2.341179125,GO:0007409,2.1e-05,phosphatidylinositol-binding clathrin assembly protein LAP-like
LOC111107757,1,rna-XM_022443099.1,33.159413625,GO:0007409,2.1e-05,neuroglian-like
LOC111108642,1,rna-XM_022444646.1,0.4652440625,GO:0007409,2.1e-05,neuroglian-like
LOC111109497,1,rna-XM_022445660.1,0.03092575,GO:0007409,2.1e-05,uncharacterized LOC111109497
LOC111111341,1,rna-XM_022448255.1,0.0789055,GO:0007409,2.1e-05,ankyrin-2-like
LOC111115638,1,rna-XM_022454456.1,2.665880375,GO:0007409,2.1e-05,adenomatous polyposis coli protein-like
LOC111116128,1,rna-XM_022455126.1,0.6547453125,GO:0007409,2.1e-05,ankyrin-1-like
LOC111119511,1,rna-XM_022459719.1,3.61095175,GO:0007409,2.1e-05,dedicator of cytokinesis protein 7-like
LOC111120519,1,rna-XM_022461300.1,0.328519375,GO:0007409,2.1e-05,uncharacterized LOC111120519
LOC111122103,1,rna-XM_022463664.1,0.4826868125,GO:0007409,2.1e-05,uncharacterized LOC111122103
NA,NA,NA,NA,GO:0023052,2.5e-05,NA
LOC111101006,1,rna-XM_022433212.1,0.6346999375,GO:0046580,2.8e-05,uncharacterized LOC111101006
LOC111108540,1,rna-XM_022444515.1,0.034137375,GO:0046580,2.8e-05,uncharacterized LOC111108540
LOC111112810,1,rna-XM_022450627.1,0.447981125,GO:0046580,2.8e-05,uncharacterized LOC111112810
LOC111119993,1,rna-XM_022460596.1,20.0134209375,GO:0046580,2.8e-05,serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
LOC111123312,1,rna-XM_022465566.1,5.093277875,GO:0046580,2.8e-05,target of rapamycin complex 2 subunit MAPKAP1-like
LOC111123983,1,rna-XM_022466782.1,5.5131075,GO:0046580,2.8e-05,rap guanine nucleotide exchange factor 1-like
LOC111127214,1,rna-XM_022472293.1,6.4136605625,GO:0046580,2.8e-05,target of rapamycin complex 2 subunit MAPKAP1-like
LOC111133050,1,rna-XM_022481113.1,1.233427875,GO:0046580,2.8e-05,mitofusin-2-like
LOC111137127,1,rna-XM_022488430.1,0.23685625,GO:0046580,2.8e-05,uncharacterized LOC111137127
NA,NA,NA,NA,GO:0048667,2.9e-05,NA
LOC111100148,1,rna-XM_022431782.1,0.9161145,GO:0046578,3.3e-05,1-phosphatidylinositol 4
NA,NA,NA,NA,GO:0050794,4.0e-05,NA
LOC111129405,1,rna-XM_022475776.1,1.7780556875,GO:0051146,4.0e-05,homeobox protein six1-like
LOC111099157,1,rna-XM_022430550.1,2.0294685625,GO:0007165,4.2e-05,rap1 GTPase-activating protein 1-like
LOC111099612,1,rna-XM_022430969.1,1.5158349375,GO:0007165,4.2e-05,uncharacterized LOC111099612
LOC111100064,1,rna-XM_022431657.1,0.233819625,GO:0007165,4.2e-05,uncharacterized LOC111100064
LOC111100304,1,rna-XM_022432027.1,0.030648875,GO:0007165,4.2e-05,ankyrin-3-like
LOC111100564,1,rna-XM_022432565.1,0.72606225,GO:0007165,4.2e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111102830,1,rna-XM_022435724.1,0.200420875,GO:0007165,4.2e-05,ankyrin repeat domain-containing protein 50-like
LOC111104515,1,rna-XM_022438511.1,1.7593481875,GO:0007165,4.2e-05,toll-like receptor Tollo
LOC111104529,1,rna-XM_022438533.1,0.400734875,GO:0007165,4.2e-05,uncharacterized LOC111104529
LOC111104626,1,rna-XM_022438659.1,0.622279,GO:0007165,4.2e-05,uncharacterized LOC111104626
LOC111104753,1,rna-XM_022438863.1,2.010564875,GO:0007165,4.2e-05,uncharacterized LOC111104753
LOC111105420,1,rna-XM_022439705.1,0.0602895625,GO:0007165,4.2e-05,uncharacterized LOC111105420
LOC111106424,1,rna-XM_022441096.1,0.1620708125,GO:0007165,4.2e-05,ankyrin-2-like
LOC111107253,1,rna-XM_022442360.1,0.445174375,GO:0007165,4.2e-05,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111108540,1,rna-XM_022444515.1,0.034137375,GO:0007165,4.2e-05,uncharacterized LOC111108540
LOC111109414,1,rna-XM_022445505.1,0.244238875,GO:0007165,4.2e-05,ankyrin repeat and SOCS box protein 2-like
LOC111110037,1,rna-XM_022446365.1,0.3771880625,GO:0007165,4.2e-05,ankyrin-2-like
LOC111110083,1,rna-XM_022446425.1,3.019377625,GO:0007165,4.2e-05,SLIT-ROBO Rho GTPase-activating protein 1-like
LOC111110347,1,rna-XM_022446818.1,3.209487875,GO:0007165,4.2e-05,SLIT-ROBO Rho GTPase-activating protein 1-like
LOC111110867,1,rna-XM_022447516.1,10.3748903125,GO:0007165,4.2e-05,rho GTPase-activating protein 21-like
LOC111110990,1,rna-XM_022447700.1,0.26261475,GO:0007165,4.2e-05,uncharacterized LOC111110990
LOC111111341,1,rna-XM_022448255.1,0.0789055,GO:0007165,4.2e-05,ankyrin-2-like
LOC111111432,1,rna-XM_022448419.1,2.6257573125,GO:0007165,4.2e-05,nostrin-like
LOC111111520,1,rna-XM_022448540.1,12.4231134375,GO:0007165,4.2e-05,rho GTPase-activating protein 21-like
LOC111111946,1,rna-XM_022449163.1,0.168460375,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase delta-like
LOC111112028,1,rna-XM_022449319.1,1.8242961875,GO:0007165,4.2e-05,ras-associated and pleckstrin homology domains-containing protein 1-like
LOC111112686,1,rna-XM_022450402.1,0.1581008125,GO:0007165,4.2e-05,uncharacterized LOC111112686
LOC111112922,1,rna-XM_022450807.1,0.1565460625,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase alpha-like
LOC111113167,1,rna-XM_022451201.1,1.8246505,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111114475,1,rna-XM_022452786.1,0.1723585625,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase S-like
LOC111114500,1,rna-XM_022452831.1,0.274078,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111114926,1,rna-XM_022453485.1,0.271436375,GO:0007165,4.2e-05,uncharacterized LOC111114926
LOC111115100,1,rna-XM_022453694.1,1.348849125,GO:0007165,4.2e-05,aminopeptidase N-like
LOC111115260,1,rna-XM_022453934.1,0.4865385,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase mu-like
LOC111116128,1,rna-XM_022455126.1,0.6547453125,GO:0007165,4.2e-05,ankyrin-1-like
LOC111116774,1,rna-XM_022455773.1,0.7164861875,GO:0007165,4.2e-05,uncharacterized LOC111116774
LOC111116795,1,rna-XM_022455814.1,2.1263398125,GO:0007165,4.2e-05,multiple epidermal growth factor-like domains protein 6
LOC111117047,1,rna-XM_022456114.1,0.2617461875,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase T-like
LOC111117113,1,rna-XM_022456199.1,0.2105189375,GO:0007165,4.2e-05,uncharacterized LOC111117113
LOC111117764,1,rna-XM_022457008.1,0.3689031875,GO:0007165,4.2e-05,protein FAM76B-like
LOC111118720,1,rna-XM_022458306.1,0.3156174375,GO:0007165,4.2e-05,receptor-type tyrosine-protein phosphatase alpha-like
LOC111119530,1,rna-XM_022459752.1,0.81467,GO:0007165,4.2e-05,uncharacterized LOC111119530
LOC111120610,1,rna-XM_022461458.1,0.653023375,GO:0007165,4.2e-05,receptor-type guanylate cyclase Gyc76C-like
LOC111120791,1,rna-XM_022461760.1,0.9080485625,GO:0007165,4.2e-05,hippocalcin-like protein 4
LOC111120921,1,rna-XM_022461967.1,3.66571275,GO:0007165,4.2e-05,tuberin-like
LOC111123983,1,rna-XM_022466782.1,5.5131075,GO:0007165,4.2e-05,rap guanine nucleotide exchange factor 1-like
LOC111124666,1,rna-XM_022467756.1,1.9215390625,GO:0007165,4.2e-05,cGMP-dependent 3'
LOC111125347,1,rna-XM_022469056.1,0.157019875,GO:0007165,4.2e-05,myosin-7-like
LOC111125362,1,rna-XM_022469096.1,3.516790625,GO:0007165,4.2e-05,dual specificity mitogen-activated protein kinase kinase 7-like
LOC111125391,1,rna-XM_022469180.1,3.2604269375,GO:0007165,4.2e-05,liprin-alpha-1-like
LOC111126732,1,rna-XM_022471567.1,2.5923214375,GO:0007165,4.2e-05,A-kinase anchor protein 17A-like
LOC111126881,1,rna-XM_022471792.1,0.5314801875,GO:0007165,4.2e-05,protein Wnt-10b-like
LOC111127917,1,rna-XM_022473244.1,3.2780435,GO:0007165,4.2e-05,TNF receptor-associated factor 3-like
LOC111127981,1,rna-XM_022473321.1,13.18754975,GO:0007165,4.2e-05,serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform-like
LOC111128074,1,rna-XM_022473489.1,0.2288138125,GO:0007165,4.2e-05,uncharacterized LOC111128074
LOC111128821,1,rna-XM_022474708.1,4.368498,GO:0007165,4.2e-05,high affinity cAMP-specific and IBMX-insensitive 3'
LOC111128838,1,rna-XM_022474756.1,7.400697,GO:0007165,4.2e-05,tyrosine-protein kinase JAK2-like
LOC111128933,1,rna-XM_022474902.1,3.0628333125,GO:0007165,4.2e-05,high affinity cAMP-specific and IBMX-insensitive 3'
LOC111129899,1,rna-XM_022476425.1,2.844982625,GO:0007165,4.2e-05,uncharacterized LOC111129899
LOC111130185,1,rna-XM_022476952.1,1.8301830625,GO:0007165,4.2e-05,uncharacterized LOC111130185
LOC111132115,1,rna-XM_022479812.1,1.95229,GO:0007165,4.2e-05,loricrin-like
LOC111132214,1,rna-XM_022479999.1,0.293651125,GO:0007165,4.2e-05,angiopoietin-1 receptor-like
LOC111133403,1,rna-XM_022481800.1,2.225071125,GO:0007165,4.2e-05,rap1 GTPase-activating protein 1-like
LOC111134772,1,rna-XM_022484128.1,0.8306716875,GO:0007165,4.2e-05,cGMP-specific 3'
LOC111134790,1,rna-XM_022484159.1,6.00476475,GO:0007165,4.2e-05,loricrin-like
LOC111136005,1,rna-XM_022486551.1,19.594661375,GO:0007165,4.2e-05,protein NDRG3-like
LOC111136106,1,rna-XM_022486782.1,7.126182625,GO:0007165,4.2e-05,rho GTPase-activating protein 39-like
NA,NA,NA,NA,GO:0051058,4.3e-05,NA
LOC111099899,1,rna-XM_022431404.1,0.155148875,GO:0007517,5.8e-05,cell adhesion molecule 2-like
LOC111100079,1,rna-XM_022431683.1,0.131195125,GO:0007517,5.8e-05,hemicentin-1-like
LOC111100788,1,rna-XM_022432882.1,13.06688525,GO:0007517,5.8e-05,protein quaking-B-like
LOC111103989,1,rna-XM_022437662.1,3.7530726875,GO:0007517,5.8e-05,PAX3- and PAX7-binding protein 1-like
LOC111105684,1,rna-XM_022440035.1,0.972566125,GO:0007517,5.8e-05,uncharacterized LOC111105684
