         list_m
1  LOC111133851
2  LOC111124637
3  LOC111128432
4  LOC111100375
5  LOC111137838
6  LOC111126143
7  LOC111105847
8  LOC111133663
9  LOC111103696
10 LOC111100999
11 LOC111138468
12 LOC111125407
13 LOC111118372
14 LOC111127833
15 LOC111135566
16 LOC111135909
17 LOC111102022
18 LOC111126469
19 LOC111137295
20 LOC111127838
21 LOC111111155
22 LOC111136620
23 LOC111125717
24 LOC111122219
25 LOC111136730
26 LOC111100795
27 LOC111111117
28 LOC111102738
29 LOC111129082
30 LOC111104082
31 LOC111134965
32 LOC111099202
33 LOC111122657
34 LOC111102430
35 LOC111117955
36 LOC111102014
37 LOC111131751
38 LOC111099545
39 LOC111123248
40 LOC111101276
41 LOC111106539
42 LOC111136050
43 LOC111134521
44 LOC111130338
45 LOC111100148
46 LOC111106378
47 LOC111114519
48 LOC111117546
49 LOC111120346
50 LOC111128909
51 LOC111112359
52 LOC111103387
53 LOC111120805
54 LOC111137953
55 LOC111103314
56 LOC111110739
57 LOC111129627
58 LOC111110868
59 LOC111100578
60 LOC111131542
61 LOC111129784
62 LOC111131616
63 LOC111136812
64 LOC111103579
65 LOC111134464
66 LOC111116430
67 LOC111114112
68 LOC111126709
69 LOC111126658
70 LOC111101412
71 LOC111128074
72 LOC111103940
73 LOC111137163
74 LOC111129906
75 LOC111104183
76 LOC111135189
77 LOC111125357
78 LOC111133957
79 LOC111134127
80 LOC111125913
