gene_name,meth.diff,GO,p.value,product
LOC111110619,-56,GO:0006996,7.1e-15,Hermansky-Pudlak syndrome 5 protein homolog
LOC111126237,-50,GO:0006996,7.1e-15,Golgi reassembly-stacking protein 2-like
LOC111104835,62,GO:0043087,1.2e-11,arf-GAP with GTPase
LOC111104835,55,GO:0043087,1.2e-11,arf-GAP with GTPase
LOC111117970,-65,GO:0043087,1.2e-11,focal adhesion kinase 1-like
LOC111117970,-50,GO:0043087,1.2e-11,focal adhesion kinase 1-like
LOC111119689,71,GO:0043087,1.2e-11,rapamycin-insensitive companion of mTOR-like
LOC111119689,50,GO:0043087,1.2e-11,rapamycin-insensitive companion of mTOR-like
LOC111119689,-73,GO:0043087,1.2e-11,rapamycin-insensitive companion of mTOR-like
LOC111121366,50,GO:0043087,1.2e-11,rap guanine nucleotide exchange factor 6-like
LOC111125048,51,GO:0043087,1.2e-11,guanine nucleotide exchange factor VAV2-like
LOC111099157,-67,GO:0043087,1.2e-11,rap1 GTPase-activating protein 1-like
LOC111133403,-57,GO:0043087,1.2e-11,rap1 GTPase-activating protein 1-like
LOC111133403,66,GO:0043087,1.2e-11,rap1 GTPase-activating protein 1-like
LOC111135949,-53,GO:0043087,1.2e-11,neurofibromin-like
LOC111100441,61,GO:0043087,1.2e-11,uncharacterized LOC111100441
LOC111108143,-61,GO:0043087,1.2e-11,FYVE
LOC111106022,56,GO:0043087,1.2e-11,plexin-B1-like
LOC111106023,56,GO:0043087,1.2e-11,plexin-B2-like
LOC111108439,56,GO:0043087,1.2e-11,plexin-B-like
LOC111108439,69,GO:0043087,1.2e-11,plexin-B-like
LOC111108439,53,GO:0043087,1.2e-11,plexin-B-like
LOC111107307,53,GO:0043087,1.2e-11,FYVE
LOC111126641,52,GO:0008104,7.9e-09,low-density lipoprotein receptor-related protein 2-like
LOC111125816,73,GO:0008104,7.9e-09,uncharacterized LOC111125816
LOC111101884,50,GO:0008104,7.9e-09,TFIIH basal transcription factor complex helicase XPB subunit-like
LOC111107913,52,GO:0008104,7.9e-09,filamin-A-like
LOC111107913,53,GO:0008104,7.9e-09,filamin-A-like
LOC111112987,53,GO:0008104,7.9e-09,ATP-dependent RNA helicase DDX42-like
LOC111136991,-58,GO:0016070,8.1e-09,DNA-directed RNA polymerase II subunit RPB2-like
LOC111136987,-58,GO:0016070,8.1e-09,DNA-directed RNA polymerase II subunit RPB2
LOC111124264,-58,GO:0007017,9.8e-09,tubulin beta chain-like
LOC111124577,79,GO:0007017,9.8e-09,kinesin-associated protein 3-like
LOC111131843,-50,GO:0007017,9.8e-09,lysosomal-trafficking regulator-like
LOC111124297,-52,GO:0007049,1.1e-08,zygotic DNA replication licensing factor mcm3-like
LOC111121152,50,GO:0007049,1.1e-08,uncharacterized LOC111121152
LOC111121152,71,GO:0007049,1.1e-08,uncharacterized LOC111121152
LOC111120878,68,GO:0007049,1.1e-08,histone-binding protein N1/N2-like
LOC111120878,56,GO:0007049,1.1e-08,histone-binding protein N1/N2-like
LOC111119409,-62,GO:0007049,1.1e-08,cyclin-G-associated kinase-like
LOC111120478,53,GO:0007049,1.1e-08,ras association domain-containing protein 2-like
LOC111121780,55,GO:0007049,1.1e-08,protein phosphatase 1 regulatory subunit 7-like
LOC111121780,50,GO:0007049,1.1e-08,protein phosphatase 1 regulatory subunit 7-like
LOC111121780,67,GO:0007049,1.1e-08,protein phosphatase 1 regulatory subunit 7-like
LOC111121447,62,GO:0007049,1.1e-08,RAD50-interacting protein 1-like
LOC111125463,-51,GO:0007049,1.1e-08,hemicentin-1-like
LOC111126797,-61,GO:0007049,1.1e-08,serine/threonine-protein phosphatase 6 catalytic subunit
LOC111124746,56,GO:0007049,1.1e-08,septin-11-like
LOC111124746,70,GO:0007049,1.1e-08,septin-11-like
LOC111131058,54,GO:0007049,1.1e-08,cyclin-K-like
LOC111127743,64,GO:0007049,1.1e-08,mis18-binding protein 1-like
LOC111127743,54,GO:0007049,1.1e-08,mis18-binding protein 1-like
LOC111127743,56,GO:0007049,1.1e-08,mis18-binding protein 1-like
LOC111130223,52,GO:0007049,1.1e-08,ARL14 effector protein-like
LOC111129910,-64,GO:0007049,1.1e-08,serine/threonine-protein kinase ATR-like
LOC111129365,56,GO:0007049,1.1e-08,baculoviral IAP repeat-containing protein 6-like
LOC111128537,56,GO:0007049,1.1e-08,uncharacterized LOC111128537
LOC111129611,-56,GO:0007049,1.1e-08,uncharacterized LOC111129611
LOC111129611,-64,GO:0007049,1.1e-08,uncharacterized LOC111129611
LOC111131413,57,GO:0007049,1.1e-08,centriole
LOC111136013,53,GO:0007049,1.1e-08,caltractin-like
