gene,value.var,block
gene.LOC111129523,-0.428253454288534,X
gene.LOC111122495,-0.381954742766907,X
gene.LOC111118004,-0.344139720321086,X
gene.LOC111126360,-0.302153211318681,X
gene.LOC111124657,-0.280807928379956,X
gene.LOC111107792,-0.252099540531916,X
gene.LOC111118606,-0.232340681857628,X
gene.LOC111129214,-0.19624293926636,X
gene.LOC111118013,-0.191892127483981,X
gene.LOC111137141,-0.17643857053723,X
gene.LOC111113319,-0.152740946300891,X
gene.LOC111137051,-0.150729604591132,X
gene.LOC111121296,-0.150577787863558,X
gene.LOC111123962,-0.143806814156439,X
gene.LOC111124634,-0.142488422224935,X
gene.LOC111119640,-0.115470322645681,X
gene.LOC111133472,-0.108220591015228,X
gene.LOC111129391,-0.0738196844591029,X
gene.LOC111125856,-0.0671608168932906,X
gene.LOC111119844,-0.0636786794854785,X
gene.LOC111133485,-0.0631646791639419,X
gene.LOC111112729,0.0479747266735761,X
gene.LOC111129299,-0.0427663990277087,X
gene.LOC111122895,-0.0335851473243553,X
gene.LOC111136527,-0.0106035240900946,X
gene.LOC111131406,0.441512161695546,Y
gene.LOC111135967,0.432030702823014,Y
gene.LOC111130682,0.324941802361791,Y
gene.LOC111128535,-0.304449724764736,Y
gene.LOC111131875,0.282342290824168,Y
gene.LOC111123983,0.215652724466045,Y
gene.LOC111125757,0.211812416569448,Y
gene.LOC111135084,0.204405566607152,Y
gene.LOC111101629,0.197357031667177,Y
gene.LOC111114545,-0.163266424089485,Y
gene.LOC111110636,0.154415970070169,Y
gene.LOC111121496,0.14438495261152,Y
gene.LOC111103096,-0.141824482182238,Y
gene.LOC111111555,0.129391040413293,Y
gene.LOC111122316,0.113960255681204,Y
gene.LOC111118192,0.108132721685006,Y
gene.LOC111101731,0.104443220576854,Y
gene.LOC111120744,0.0889847215973348,Y
gene.LOC111099172,0.0754441015274216,Y
gene.LOC111127025,0.0621794415249692,Y
gene.LOC111117840,-0.050956458386301,Y
gene.LOC111137695,0.0464264779204481,Y
gene.LOC111109748,0.0374164055240884,Y
gene.LOC111133388,0.028775645689337,Y
gene.LOC111133283,0.00852201494076085,Y
