gene	value.var	block	component	transcript	product	GO	GOterm	GOslim	process
gene.LOC111137311	-0.197302070422781	X	1	XM_022488740.1;XM_022488741.1	uncharacterized LOC111137311%2C transcript variant X1;uncharacterized LOC111137311%2C transcript variant X2	GO:0005737;GO:0005765;GO:0005794;GO:0005886;GO:0016020;GO:0016021;GO:0016324;GO:0033162;GO:0042470;GO:0004930;GO:0035240;GO:0006726;GO:0007165;GO:0007186;GO:0007601;GO:0032400;GO:0032402;GO:0032438;GO:0048015;GO:0050848;GO:0035584;GO:0035643;GO:0072544;GO:0072545;GO:1902908;GO:1903056	cytoplasm;lysosomal membrane;Golgi apparatus;plasma membrane;membrane;integral to membrane;apical plasma membrane;melanosome membrane;melanosome;G-protein coupled receptor activity;dopamine binding;eye pigment biosynthetic process;signal transduction;G-protein coupled receptor protein signaling pathway;visual perception;melanosome localization;melanosome transport;melanosome organization;phosphoinositide-mediated signaling;regulation of calcium-mediated signaling;NA	other cellular component;other cytoplasmic organelle;other membranes;ER/Golgi;plasma membrane;signal transduction activity;other molecular function;other metabolic processes;signal transduction;other biological processes;transport;cell organization and biogenesis;NA	C;F;P;NA
gene.LOC111110977	-0.181673015172169	X	1	XM_022447661.1	reticulophagy regulator 3-like	GO:0016021;GO:0010976	integral to membrane;positive regulation of neuron projection development	other membranes;cell organization and biogenesis;developmental processes	C;P
gene.LOC111119599	-0.156847535261834	X	1	XM_022459928.1	transcription factor MafK-like	GO:0005634;GO:0003677;GO:0003700;GO:0006351	nucleus;DNA binding;transcription factor activity;transcription;DNA-dependent	nucleus;nucleic acid binding activity;transcription regulatory activity;RNA metabolism	C;F;P
gene.LOC111127995	-0.111157636257109	X	1	XM_022473359.1	F-box only protein 28-like	GO:0000776;GO:0000777	kinetochore;condensed chromosome kinetochore	other cellular component	C
gene.LOC111124876	-0.000855724410585997	X	1	XM_022468132.1	acylglycerol kinase%2C mitochondrial-like	GO:0031966;GO:0003951;GO:0004143;GO:0005524;GO:0047620;GO:0046486	mitochondrial membrane;NAD+ kinase activity;diacylglycerol kinase activity;ATP binding;acylglycerol kinase activity;glycerolipid metabolic process	mitochondrion;other membranes;kinase activity;other molecular function;other metabolic processes	C;F;P
gene.LOC111136146	0.0259947706344804	X	1	XM_022486783.1	ubiquitin-conjugating enzyme E2 Q1-like	GO:0005524;GO:0016740;GO:0016567	ATP binding;transferase activity;protein ubiquitination	other molecular function;protein metabolism	F;P
gene.LOC111110715	0.0337565355823839	X	1	XM_022447301.1;XM_022447303.1	uncharacterized LOC111110715%2C transcript variant X1;uncharacterized LOC111110715%2C transcript variant X2	GO:0003677;GO:0003700;GO:0006351	DNA binding;transcription factor activity;transcription;DNA-dependent	nucleic acid binding activity;transcription regulatory activity;RNA metabolism	F;P
gene.LOC111106222	0.047656031819019	X	1	XM_022440810.1	tripartite motif-containing protein 45-like	GO:0005654;GO:0005829;GO:0045171;GO:0008270;GO:0060348	nucleoplasm;cytosol;intercellular bridge;zinc ion binding;bone development	nucleus;cytosol;non-structural extracellular;other molecular function;developmental processes	C;F;P
gene.LOC111126901	0.0606076386277316	X	1	XM_022471826.1;XM_022471827.1;XM_022471828.1;XM_022471829.1	uncharacterized LOC111126901%2C transcript variant X1;uncharacterized LOC111126901%2C transcript variant X2;uncharacterized LOC111126901%2C transcript variant X3;uncharacterized LOC111126901%2C transcript variant X4	GO:0005886;GO:0004672;GO:0004675;GO:0005524;GO:0007166;GO:0009742;GO:0040007;GO:1900459	plasma membrane;protein kinase activity;transmembrane receptor protein serine/threonine kinase activity;ATP binding;cell surface receptor linked signal transduction;brassinosteroid mediated signaling;growth;NA	other membranes;plasma membrane;kinase activity;signal transduction activity;other molecular function;signal transduction;other biological processes;NA	C;F;P;NA
gene.LOC111126014	0.0765828989582776	X	1	XM_022470369.1	helicase SKI2W-like	GO:0005634;GO:0005829;GO:0055087;GO:0003723;GO:0004004;GO:0005524;GO:0043928;GO:0070478	nucleus;cytosol;Ski complex;RNA binding;ATP-dependent RNA helicase activity;ATP binding;exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay;nuclear-transcribed mRNA catabolic process;3'-5' exonucleolytic nonsense-mediated decay	nucleus;cytosol;other cellular component;nucleic acid binding activity;other molecular function;RNA metabolism	C;F;P
gene.LOC111133550	0.124954044596326	X	1	XM_022482023.1	uncharacterized LOC111133550%2C transcript variant X1	GO:0016021	integral to membrane	other membranes	C
gene.LOC111113266	0.12683637715194	X	1	XM_022451379.1	biogenesis of lysosome-related organelles complex 1 subunit 1-like	GO:0005615;GO:0005758;GO:0005759;GO:0005765;GO:0005769;GO:0005829;GO:0031083;GO:0070062;GO:0008089;GO:0009060;GO:0018394;GO:0031175;GO:0032418;GO:0048490;GO:0099078;GO:1904115	extracellular space;mitochondrial intermembrane space;mitochondrial matrix;lysosomal membrane;early endosome;cytosol;BLOC-1 complex;extracellular vesicular exosome;anterograde axon cargo transport;aerobic respiration;peptidyl-lysine acetylation;neuron projection development;lysosome localization;anterograde synaptic vesicle transport;NA	non-structural extracellular;mitochondrion;other cytoplasmic organelle;other membranes;cytosol;transport;other metabolic processes;protein metabolism;cell organization and biogenesis;developmental processes;other biological processes;NA	C;P;NA
gene.LOC111112054	0.145402535991322	X	1	NA	NA	NA	NA	NA	NA
gene.LOC111116857	0.162449735600127	X	1	XM_022455881.1	uncharacterized LOC111116857	GO:0005654;GO:0005829;GO:0045171;GO:0008270;GO:0060348	nucleoplasm;cytosol;intercellular bridge;zinc ion binding;bone development	nucleus;cytosol;non-structural extracellular;other molecular function;developmental processes	C;F;P
gene.LOC111103164	0.166562089009912	X	1	XM_022436220.1	uncharacterized LOC111103164	NA	NA	NA	NA
