gene_name,difference,males_controls_max_transcript_counts,males_exposed_max_transcript_counts,GO,p.value,product
LOC111135419,-1,3,2,GO:0048468,4.1e-06,peroxisomal targeting signal 1 receptor-like
LOC111099078,-1,2,1,GO:0007275,2.2e-05,uncharacterized LOC111099078
LOC111099711,-2,3,1,GO:0007275,2.2e-05,uncharacterized LOC111099711
LOC111099730,-1,1,0,GO:0007275,2.2e-05,uncharacterized LOC111099730
LOC111100299,-1,3,2,GO:0007275,2.2e-05,uncharacterized LOC111100299
LOC111100470,-1,2,1,GO:0007275,2.2e-05,baculoviral IAP repeat-containing protein 3-like
LOC111100788,-1,5,4,GO:0007275,2.2e-05,protein quaking-B-like
LOC111101151,-1,2,1,GO:0007275,2.2e-05,neurotrypsin-like
LOC111101603,-2,6,4,GO:0007275,2.2e-05,testicular haploid expressed gene protein-like
LOC111108305,-1,4,3,GO:0007275,2.2e-05,thioredoxin reductase 1
LOC111112487,-2,5,3,GO:0007275,2.2e-05,protein boule-like
LOC111112653,-1,4,3,GO:0007275,2.2e-05,uncharacterized LOC111112653
LOC111112740,-1,2,1,GO:0007275,2.2e-05,uncharacterized LOC111112740
LOC111116258,-1,3,2,GO:0007275,2.2e-05,uncharacterized LOC111116258
LOC111118753,-1,3,2,GO:0007275,2.2e-05,netrin receptor UNC5C-like
LOC111119839,-1,2,1,GO:0007275,2.2e-05,uncharacterized LOC111119839
LOC111119867,-1,5,4,GO:0007275,2.2e-05,protein TBATA-like
LOC111122216,-1,4,3,GO:0007275,2.2e-05,ras-associating and dilute domain-containing protein-like
LOC111125428,-1,4,3,GO:0007275,2.2e-05,cytoplasmic dynein 2 heavy chain 1-like
LOC111125656,-2,4,2,GO:0007275,2.2e-05,cathepsin L1-like
LOC111127409,-1,2,1,GO:0007275,2.2e-05,nose resistant to fluoxetine protein 6-like
LOC111129910,-1,2,1,GO:0007275,2.2e-05,serine/threonine-protein kinase ATR-like
LOC111132798,-1,4,3,GO:0007275,2.2e-05,serine/threonine-protein kinase mig-15-like
LOC111133285,-1,6,5,GO:0007275,2.2e-05,membrane progestin receptor gamma-B-like
LOC111135445,-1,4,3,GO:0007275,2.2e-05,polyhomeotic-like protein 1
LOC111135621,-1,2,1,GO:0007275,2.2e-05,rotatin-like
LOC111100441,-2,6,4,GO:0030036,2.7e-05,uncharacterized LOC111100441
LOC111106135,-1,2,1,GO:0030036,2.7e-05,protein draper-like
LOC111108143,-1,3,2,GO:0030036,2.7e-05,FYVE
LOC111115761,-1,2,1,GO:0030036,2.7e-05,uncharacterized LOC111115761
LOC111116201,-1,2,1,GO:0030036,2.7e-05,uncharacterized LOC111116201
LOC111118686,-1,3,2,GO:0030036,2.7e-05,syntenin-1-like
LOC111120840,-1,2,1,GO:0030036,2.7e-05,multiple epidermal growth factor-like domains protein 6
LOC111127975,-1,6,5,GO:0030036,2.7e-05,protein kinase C and casein kinase substrate in neurons protein 2-like
LOC111130704,-2,7,5,GO:0030036,2.7e-05,spectrin alpha chain
LOC111130774,-1,2,1,GO:0030036,2.7e-05,ras GTPase-activating protein 1-like
LOC111130951,-2,6,4,GO:0030036,2.7e-05,spectrin alpha chain
LOC111134950,-1,3,2,GO:0030036,2.7e-05,protein spire homolog 1-like
LOC111137176,-1,3,2,GO:0030036,2.7e-05,SCO-spondin-like
LOC111134950,-1,3,2,GO:0030029,2.7e-05,protein spire homolog 1-like
LOC111104356,-1,2,1,GO:0007010,3.1e-05,uncharacterized LOC111104356
