gene_name,difference,females_controls_max_transcript_counts,females_exposed_max_transcript_counts,GO,p.value,product
NA,NA,NA,NA,GO:0048646,2.9e-16,NA
LOC111099199,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111099199
LOC111099899,-1,4,3,GO:0007155,3.2e-16,cell adhesion molecule 2-like
LOC111100787,-1,1,0,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111100792,-2,11,9,GO:0007155,3.2e-16,peripheral plasma membrane protein CASK-like
LOC111100907,-2,3,1,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 11
LOC111100993,-2,4,2,GO:0007155,3.2e-16,uncharacterized LOC111100993
LOC111101850,-1,4,3,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111102449,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111102449
LOC111102569,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111102569
LOC111102648,-1,2,1,GO:0007155,3.2e-16,cell death abnormality protein 1-like
LOC111103027,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111103027
LOC111103724,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111103724
LOC111103819,-1,6,5,GO:0007155,3.2e-16,afadin-like
LOC111104243,-1,2,1,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111104453,-2,5,3,GO:0007155,3.2e-16,synaptogenesis protein syg-2-like
LOC111104582,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111104582
LOC111104923,-1,1,0,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111105404,-2,3,1,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111105545,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111105545
LOC111105549,-2,3,1,GO:0007155,3.2e-16,uncharacterized LOC111105549
LOC111105800,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111105800
LOC111105837,-1,1,0,GO:0007155,3.2e-16,complement C1q-like protein 4
LOC111105920,-1,4,3,GO:0007155,3.2e-16,uncharacterized LOC111105920
LOC111105921,-1,3,2,GO:0007155,3.2e-16,uncharacterized LOC111105921
LOC111105939,-1,3,2,GO:0007155,3.2e-16,integrin beta-like protein A
LOC111106086,-1,1,0,GO:0007155,3.2e-16,complement C1q-like protein 2
LOC111106212,-1,7,6,GO:0007155,3.2e-16,uncharacterized LOC111106212
LOC111106344,-1,2,1,GO:0007155,3.2e-16,tenascin-like
LOC111106374,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111106374
LOC111106765,-2,3,1,GO:0007155,3.2e-16,fibrillin-1-like
LOC111106768,-1,3,2,GO:0007155,3.2e-16,fibrillin-1-like
LOC111107723,-1,1,0,GO:0007155,3.2e-16,B-cell receptor CD22-like
LOC111108073,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111108073
LOC111108416,-1,3,2,GO:0007155,3.2e-16,uncharacterized LOC111108416
LOC111109752,-1,2,1,GO:0007155,3.2e-16,tenascin-like
LOC111109783,-1,2,1,GO:0007155,3.2e-16,integrin beta-like protein A
LOC111110319,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111110319
LOC111110518,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111110518
LOC111110914,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111110914
LOC111110916,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111110916
LOC111111050,-1,11,10,GO:0007155,3.2e-16,liprin-beta-1-like
LOC111111289,-1,3,2,GO:0007155,3.2e-16,uncharacterized LOC111111289
LOC111111487,-2,18,16,GO:0007155,3.2e-16,integrin alpha-2-like
LOC111111664,-1,1,0,GO:0007155,3.2e-16,complement C1q tumor necrosis factor-related protein 2-like
LOC111111698,-1,3,2,GO:0007155,3.2e-16,coadhesin-like
LOC111111946,-3,5,2,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase delta-like
LOC111111948,-1,2,1,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase T-like
LOC111111950,-1,2,1,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111111954,-1,1,0,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111112358,-1,2,1,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111112374,-2,3,1,GO:0007155,3.2e-16,protein draper-like
LOC111112506,-1,2,1,GO:0007155,3.2e-16,cell death abnormality protein 1-like
LOC111112620,-15,27,12,GO:0007155,3.2e-16,centrosome and spindle pole-associated protein 1-like
LOC111112902,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111112902
LOC111113019,-1,3,2,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase T-like
LOC111113083,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111113083
LOC111113676,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111113676
LOC111113685,-1,1,0,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase alpha-like
LOC111113842,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111113842
LOC111114374,-1,1,0,GO:0007155,3.2e-16,cell death abnormality protein 1-like
LOC111114475,-2,4,2,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase S-like
LOC111114650,-1,3,2,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111114844,-1,2,1,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111115259,-1,3,2,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111115280,-1,2,1,GO:0007155,3.2e-16,scavenger receptor class F member 2-like
LOC111115282,-1,1,0,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 6
LOC111115349,-1,1,0,GO:0007155,3.2e-16,spondin-1-like
LOC111115459,-1,1,0,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase T-like
LOC111115602,-1,1,0,GO:0007155,3.2e-16,uncharacterized LOC111115602
LOC111115605,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111115605
LOC111116053,-3,3,0,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111116056,-1,3,2,GO:0007155,3.2e-16,integrin alpha-2-like
LOC111116622,-1,3,2,GO:0007155,3.2e-16,protein draper-like
LOC111116632,-1,2,1,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase alpha-like
LOC111117113,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111117113
LOC111117310,-1,4,3,GO:0007155,3.2e-16,asialoglycoprotein receptor 2-like
LOC111117346,-2,3,1,GO:0007155,3.2e-16,protein draper-like
LOC111117755,-2,7,5,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111117802,-1,2,1,GO:0007155,3.2e-16,low affinity immunoglobulin epsilon Fc receptor-like
LOC111118174,-1,2,1,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase kappa-like
LOC111119426,-5,12,7,GO:0007155,3.2e-16,collagen alpha-1(XXV) chain-like
LOC111119571,-3,12,9,GO:0007155,3.2e-16,collagen alpha-1(XXV) chain-like
LOC111119763,-1,2,1,GO:0007155,3.2e-16,beta-1
LOC111119792,-1,2,1,GO:0007155,3.2e-16,beta-1
LOC111120008,-1,4,3,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase kappa-like
LOC111120642,-1,3,2,GO:0007155,3.2e-16,collagen alpha-1(XII) chain-like
LOC111121612,-2,3,1,GO:0007155,3.2e-16,uncharacterized LOC111121612
LOC111122050,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111122050
LOC111122205,-2,4,2,GO:0007155,3.2e-16,uncharacterized LOC111122205
LOC111122350,-1,7,6,GO:0007155,3.2e-16,laminin subunit alpha-2-like
LOC111122665,-1,3,2,GO:0007155,3.2e-16,uncharacterized LOC111122665
LOC111123480,-1,3,2,GO:0007155,3.2e-16,tenascin-X-like
LOC111123890,-1,27,26,GO:0007155,3.2e-16,dipeptidyl peptidase 4-like
LOC111124468,-1,3,2,GO:0007155,3.2e-16,calcium-activated chloride channel regulator 4-like
LOC111124681,-1,2,1,GO:0007155,3.2e-16,hemicentin-1-like
LOC111124736,-1,1,0,GO:0007155,3.2e-16,transforming growth factor-beta-induced protein ig-h3-like
LOC111124737,-1,1,0,GO:0007155,3.2e-16,transforming growth factor-beta-induced protein ig-h3-like
LOC111124933,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111124933
LOC111125947,-1,2,1,GO:0007155,3.2e-16,receptor-type tyrosine-protein phosphatase kappa-like
LOC111125985,-1,3,2,GO:0007155,3.2e-16,soluble scavenger receptor cysteine-rich domain-containing protein SSC5D-like
LOC111126409,-2,4,2,GO:0007155,3.2e-16,multiple epidermal growth factor-like domains protein 10
LOC111126691,-1,2,1,GO:0007155,3.2e-16,protein psiJ-like
LOC111127569,-1,3,2,GO:0007155,3.2e-16,hemicentin-1-like
LOC111127570,-1,2,1,GO:0007155,3.2e-16,hemicentin-1-like
LOC111127604,-1,1,0,GO:0007155,3.2e-16,transforming growth factor-beta-induced protein ig-h3-like
LOC111128628,-1,2,1,GO:0007155,3.2e-16,lactadherin-like
LOC111130211,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111130211
LOC111130384,-1,5,4,GO:0007155,3.2e-16,zwei Ig domain protein zig-8-like
LOC111130597,-1,2,1,GO:0007155,3.2e-16,sushi
LOC111130720,-1,3,2,GO:0007155,3.2e-16,mucin-3A-like
LOC111131217,-1,2,1,GO:0007155,3.2e-16,integumentary mucin C.1-like
LOC111134988,-1,2,1,GO:0007155,3.2e-16,uncharacterized LOC111134988
LOC111106765,-2,3,1,GO:0009653,2.3e-15,fibrillin-1-like
LOC111108283,-1,2,1,GO:0009653,2.3e-15,uncharacterized LOC111108283
LOC111134926,-1,2,1,GO:0009653,2.3e-15,huntingtin-like
LOC111118463,-1,6,5,GO:0032502,3.1e-15,uncharacterized LOC111118463
LOC111119356,-1,2,1,GO:0032502,3.1e-15,uncharacterized LOC111119356
LOC111101099,-1,2,1,GO:0008283,3.7e-14,uncharacterized LOC111101099
LOC111103244,-1,15,14,GO:0008283,3.7e-14,phosphatidylinositol-binding clathrin assembly protein LAP-like
LOC111103646,-1,7,6,GO:0008283,3.7e-14,proto-oncogene tyrosine-protein kinase ROS-like
LOC111104834,-1,5,4,GO:0008283,3.7e-14,F-box/LRR-repeat protein 3-like
LOC111105777,-1,1,0,GO:0008283,3.7e-14,NADPH oxidase 5-like
LOC111108843,-1,1,0,GO:0008283,3.7e-14,uncharacterized LOC111108843
LOC111109523,-3,4,1,GO:0008283,3.7e-14,uncharacterized LOC111109523
LOC111118229,-1,2,1,GO:0008283,3.7e-14,uncharacterized LOC111118229
LOC111119426,-5,12,7,GO:0008283,3.7e-14,collagen alpha-1(XXV) chain-like
LOC111119571,-3,12,9,GO:0008283,3.7e-14,collagen alpha-1(XXV) chain-like
LOC111124736,-1,1,0,GO:0008283,3.7e-14,transforming growth factor-beta-induced protein ig-h3-like
LOC111124737,-1,1,0,GO:0008283,3.7e-14,transforming growth factor-beta-induced protein ig-h3-like
LOC111124864,-1,3,2,GO:0008283,3.7e-14,uncharacterized LOC111124864
LOC111125347,-1,5,4,GO:0008283,3.7e-14,myosin-7-like
LOC111127604,-1,1,0,GO:0008283,3.7e-14,transforming growth factor-beta-induced protein ig-h3-like
LOC111128033,-2,4,2,GO:0008283,3.7e-14,elastin-like
LOC111130484,-2,5,3,GO:0008283,3.7e-14,ETS homologous factor-like
LOC111124870,-1,2,1,GO:0048856,5.3e-14,low-density lipoprotein receptor-related protein 4-like
LOC111126248,-1,2,1,GO:0048856,5.3e-14,low-density lipoprotein receptor-related protein 4-like
NA,NA,NA,NA,GO:0032501,3.8e-13,NA
NA,NA,NA,NA,GO:0023052,7.0e-13,NA
LOC111109455,-1,3,2,GO:0007154,3.9e-12,uncharacterized LOC111109455
LOC111117926,-1,3,2,GO:0007154,3.9e-12,sodium/calcium exchanger 3-like
LOC111122434,-1,3,2,GO:0007154,3.9e-12,sodium/calcium exchanger 3-like
LOC111123480,-1,3,2,GO:0007154,3.9e-12,tenascin-X-like
LOC111129088,-1,14,13,GO:0007154,3.9e-12,sodium/calcium exchanger 2-like
LOC111099043,-1,2,1,GO:0007165,5.6e-12,cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like
LOC111099692,-1,11,10,GO:0007165,5.6e-12,leucine-rich repeat and calponin homology domain-containing protein 2-like
LOC111100064,-3,5,2,GO:0007165,5.6e-12,uncharacterized LOC111100064
LOC111100100,-2,3,1,GO:0007165,5.6e-12,uncharacterized LOC111100100
LOC111100277,-1,8,7,GO:0007165,5.6e-12,diacylglycerol kinase delta-like
LOC111100872,-1,4,3,GO:0007165,5.6e-12,uncharacterized LOC111100872
LOC111101031,-1,3,2,GO:0007165,5.6e-12,inositol polyphosphate 5-phosphatase OCRL-1-like
LOC111101098,-1,1,0,GO:0007165,5.6e-12,uncharacterized LOC111101098
LOC111101505,-1,3,2,GO:0007165,5.6e-12,cadherin EGF LAG seven-pass G-type receptor 1-like
LOC111102071,-1,1,0,GO:0007165,5.6e-12,uncharacterized LOC111102071
LOC111102154,-1,1,0,GO:0007165,5.6e-12,ankyrin-1-like;start_range=.,39398877
LOC111102557,-1,1,0,GO:0007165,5.6e-12,uncharacterized LOC111102557
LOC111103819,-1,6,5,GO:0007165,5.6e-12,afadin-like
LOC111104190,-3,13,10,GO:0007165,5.6e-12,SH3 domain-containing kinase-binding protein 1-like
LOC111104515,-1,5,4,GO:0007165,5.6e-12,toll-like receptor Tollo
LOC111104529,-1,3,2,GO:0007165,5.6e-12,uncharacterized LOC111104529
LOC111104605,-1,1,0,GO:0007165,5.6e-12,ankyrin-1-like
LOC111104626,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111104626
LOC111104835,-1,25,24,GO:0007165,5.6e-12,arf-GAP with GTPase
LOC111105274,-1,3,2,GO:0007165,5.6e-12,multiple epidermal growth factor-like domains protein 6
LOC111105480,-9,9,0,GO:0007165,5.6e-12,uncharacterized LOC111105480
LOC111105783,-1,2,1,GO:0007165,5.6e-12,neuronal acetylcholine receptor subunit alpha-7-like
LOC111106384,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111106384
LOC111106389,-2,3,1,GO:0007165,5.6e-12,very low-density lipoprotein receptor-like
LOC111106917,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111106917
LOC111107829,-1,1,0,GO:0007165,5.6e-12,uncharacterized LOC111107829
LOC111109378,-1,1,0,GO:0007165,5.6e-12,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111109646,-1,2,1,GO:0007165,5.6e-12,neuronal acetylcholine receptor subunit beta-2-like
LOC111110358,-1,1,0,GO:0007165,5.6e-12,E3 ubiquitin-protein ligase TRIM36-like
LOC111110867,-1,7,6,GO:0007165,5.6e-12,rho GTPase-activating protein 21-like
LOC111111023,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111111023
LOC111111946,-3,5,2,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase delta-like
LOC111111948,-1,2,1,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase T-like
LOC111112028,-2,10,8,GO:0007165,5.6e-12,ras-associated and pleckstrin homology domains-containing protein 1-like
LOC111112441,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111112441
LOC111112713,-1,1,0,GO:0007165,5.6e-12,homeobox protein Wariai-like
LOC111112744,-1,6,5,GO:0007165,5.6e-12,interferon alpha-inducible protein 27-like protein 2B
LOC111113019,-1,3,2,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase T-like
LOC111113172,-1,2,1,GO:0007165,5.6e-12,death domain-containing protein 1-like
LOC111113685,-1,1,0,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase alpha-like
LOC111114475,-2,4,2,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase S-like
LOC111115175,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111115175
LOC111115259,-1,3,2,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111115260,-1,3,2,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase mu-like
LOC111115459,-1,1,0,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase T-like
LOC111115765,-1,2,1,GO:0007165,5.6e-12,multiple epidermal growth factor-like domains protein 10
LOC111115844,-2,11,9,GO:0007165,5.6e-12,rho GTPase-activating protein 15-like
LOC111115882,-1,2,1,GO:0007165,5.6e-12,cell death abnormality protein 1-like
LOC111116053,-3,3,0,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111116128,-2,4,2,GO:0007165,5.6e-12,ankyrin-1-like
LOC111116632,-1,2,1,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase alpha-like
LOC111116795,-2,5,3,GO:0007165,5.6e-12,multiple epidermal growth factor-like domains protein 6
LOC111117047,-2,3,1,GO:0007165,5.6e-12,receptor-type tyrosine-protein phosphatase T-like
LOC111117113,-1,2,1,GO:0007165,5.6e-12,uncharacterized LOC111117113
LOC111117968,-1,4,3,GO:0007165,5.6e-12,neuronal acetylcholine receptor subunit alpha-5-like
