gene_name,males_controls_max_transcript_counts,males_exposed_max_transcript_counts,difference,avg_meth_control,avg_meth_exposed,change_meth,avg_exp_control,avg_exp_exposed,change_exp,start,end,meth.diff,DMLcount
LOC111099036,1,2,1,67.6470577037374,71.0388445883107,3.39178688457329,4.40433780942788,4.91935086883339,0.515013059405504,81233145,81233147,56,1
LOC111099040,13,16,3,3.13249412692304,2.9518511561483,-0.18064297077474,8.66949051287155,9.68310124164013,1.01361072876858,NA,NA,NA,0
LOC111099047,5,4,-1,76.9531914994835,78.9047096137583,1.95151811427486,4.70883662668919,5.22666193931432,0.517825312625125,NA,NA,NA,0
LOC111099056,3,2,-1,69.676772672392,72.274058016606,2.59728534421397,3.93176288339882,3.57907987288801,-0.352683010510808,10578711,10578713,-55,1
LOC111099068,1,2,1,0.293638714869384,0.306691327245461,0.0130526123760769,7.2308695,7.5058913236246,0.275021823624595,NA,NA,NA,0
LOC111099070,4,5,1,0.279749780422324,0.302813523826698,0.0230637434043741,8.15158469171572,8.01874436132489,-0.132840330390827,NA,NA,NA,0
LOC111099076,1,2,1,0.964927221536023,2.10973307353554,1.14480585199952,7.490921,8.90445234418147,1.41353134418147,NA,NA,NA,0
LOC111099078,2,1,-1,0.377589325595239,0.436469124603174,0.0588797990079349,0.162735059074865,0.274666602637934,0.111931543563069,NA,NA,NA,0
LOC111099084,2,1,-1,0.891939452554096,0.840826784294225,-0.0511126682598716,2.02425106050767,1.56874774144038,-0.455503319067298,NA,NA,NA,0
LOC111099133,2,4,2,1.38395857605693,2.22065669451179,0.83669811845486,1.42369257498813,2.14957997550493,0.725887400516796,NA,NA,NA,0
LOC111099135,4,3,-1,1.17585605172583,1.92376195266545,0.747905900939622,2.95330767467827,3.789170664648,0.835862989969722,NA,NA,NA,0
LOC111099147,1,2,1,75.8632280735466,71.5470473406886,-4.31618073285799,6.35066056454215,6.97634223026758,0.625681665725423,NA,NA,NA,0
LOC111099151,1,2,1,0.55454219582752,0.549731714004992,-0.00481048182252897,8.78436925,9.71437035269262,0.930001102692616,NA,NA,NA,0
LOC111099157,14,15,1,76.6054598792936,73.7116529362973,-2.89380694299629,7.5151545394209,7.06368664374948,-0.451467895671416,365057,365059,-67,1
LOC111099174,2,1,-1,50.9737371272248,61.2550487737162,10.2813116464914,6.6479971111902,6.54976016666667,-0.0982369445235376,33516608,33516610,63,1
LOC111099196,2,4,2,60.3871707472794,58.8873976481954,-1.49977309908402,10.3267557068899,10.3406135577367,0.013857850846815,NA,NA,NA,0
LOC111099222,3,4,1,80.1401207853908,79.6375739828273,-0.502546802563501,12.2755886120438,10.4340443411192,-1.84154427092456,93460555,93460557,65,1
LOC111099415,1,2,1,0.34217953258312,0.155524613720539,-0.186654918862581,0.821855,3.13741364489188,2.31555864489188,NA,NA,NA,0
LOC111099430,1,2,1,0.158985008928571,0.321898178000562,0.16291316907199,0.90320425,0.977558861774743,0.0743546117747433,NA,NA,NA,0
LOC111099443,2,1,-1,4.98267210971083,4.61127884618013,-0.3713932635307,6.87632713633093,7.36545081294965,0.489123676618713,NA,NA,NA,0
LOC111099450,2,3,1,1.23564511116176,3.9926316872326,2.75698657607084,7.05661967204017,5.31850836522199,-1.73811130681818,NA,NA,NA,0
LOC111099452,0,1,1,0.249370084748069,0.732683094026394,0.483313009278325,0,0.469252666666667,0.469252666666667,NA,NA,NA,0
LOC111099457,4,11,7,25.049791574345,41.4521726957992,16.4023811214542,1.55284184946714,3.62531384285573,2.07247199338859,NA,NA,NA,0
LOC111099463,1,2,1,3.36839416655258,3.33623531759942,-0.0321588489531592,0.133139685391067,0.500582897535921,0.367443212144854,NA,NA,NA,0
LOC111099464,1,2,1,0.266963980240856,0.417249027095802,0.150285046854946,10.9456552009709,10.9858567477886,0.0402015468176895,NA,NA,NA,0
LOC111099483,3,4,1,79.396914675332,79.1450750936598,-0.251839581672158,12.445114132922,11.9894588665483,-0.455655266373759,NA,NA,NA,0
LOC111099486,0,2,2,8.53932608119939,9.02164012417524,0.482314042975855,0,0.563200355543615,0.563200355543615,NA,NA,NA,0
LOC111099488,0,1,1,2.94853635952403,3.12165884514468,0.173122485620649,0,0.434431761436378,0.434431761436378,NA,NA,NA,0
LOC111099490,1,2,1,0.414709405245789,0.529068303983286,0.114358898737497,4.62528525,4.75728812449799,0.132002874497991,NA,NA,NA,0
LOC111099498,1,2,1,0.373820500582825,0.357508193976065,-0.0163123066067603,1.2886265399918,3.28111684153678,1.99249030154498,NA,NA,NA,0
LOC111099508,1,2,1,14.6212651560929,24.6345082362034,10.0132430801105,0.482633191961959,1.07799771469515,0.595364522733195,NA,NA,NA,0
LOC111099546,0,1,1,7.04783408379794,4.84296771798581,-2.20486636581213,0,1.71575066666667,1.71575066666667,NA,NA,NA,0
LOC111099549,2,3,1,1.7929669557596,1.36658120373819,-0.426385752021409,0.275538553405434,1.58411987954356,1.30858132613812,NA,NA,NA,0
LOC111099550,1,2,1,0.411091848913043,0.551437738839593,0.140345889926551,1.01907175,1.22445414908186,0.205382399081855,NA,NA,NA,0
LOC111099575,4,3,-1,5.94828197694126,5.31963867945501,-0.628643297486253,2.55217275477805,1.08022635624743,-1.47194639853062,NA,NA,NA,0
LOC111099583,1,2,1,0.861971124328132,4.95397668017135,4.09200555584322,1.00101273717731,2.25232921167346,1.25131647449615,NA,NA,NA,0
LOC111099594,2,1,-1,41.004330953125,41.480188128592,0.475857175466949,8.6593765093819,9.19150333333333,0.532126823951435,NA,NA,NA,0
LOC111099595,0,1,1,4.52492198417681,3.50255994624838,-1.02236203792843,0,0.262114,0.262114,NA,NA,NA,0
LOC111099596,3,2,-1,38.6094221835683,31.6777211254053,-6.93170105816308,1.31017037276005,0.615843024657633,-0.694327348102419,NA,NA,NA,0
LOC111099600,2,3,1,0.651286617132965,0.320296092927103,-0.330990524205862,4.24364361538461,4.19861659654366,-0.0450270188409565,NA,NA,NA,0
LOC111099615,4,5,1,7.21042332745726,11.7766394654457,4.56621613798839,4.22861580350719,8.47381711211029,4.2452013086031,NA,NA,NA,0
LOC111099639,4,3,-1,1.23614651333494,1.86580348833399,0.629656974999054,5.82862696916471,5.79385581459797,-0.0347711545667426,NA,NA,NA,0
LOC111099642,1,2,1,0.341064152384255,0.715230427096429,0.374166274712174,4.11849283913043,4.38337530755149,0.264882468421056,NA,NA,NA,0
LOC111099646,2,1,-1,44.9463748624773,31.6882605334053,-13.2581143290719,0.542489108369099,0.585891166666667,0.0434020582975679,NA,NA,NA,0
LOC111099649,1,2,1,0.930793322814039,0.109487547908232,-0.821305774905807,0.988324606792144,1.1097036855792,0.121379078787052,NA,NA,NA,0
LOC111099655,1,2,1,5.43320765546092,6.05644937098026,0.623241715519341,3.92247557732634,3.45183049532547,-0.470645082000876,NA,NA,NA,0
LOC111099659,2,3,1,73.2101583192462,75.0310250284745,1.82086670922833,10.4789352384134,10.1437729718511,-0.335162266562298,6439923,6439925,61,3
LOC111099659,2,3,1,73.2101583192462,75.0310250284745,1.82086670922833,10.4789352384134,10.1437729718511,-0.335162266562298,6440045,6440047,56,3
LOC111099659,2,3,1,73.2101583192462,75.0310250284745,1.82086670922833,10.4789352384134,10.1437729718511,-0.335162266562298,6443038,6443040,64,3
LOC111099663,5,3,-2,1.45412127059935,0.858863663627451,-0.595257606971898,3.34994031037522,0.718093475153195,-2.63184683522203,NA,NA,NA,0
LOC111099668,2,1,-1,0.387597193320134,0.365796766752083,-0.0218004265680513,6.84460151841136,6.36311097475013,-0.481490543661227,NA,NA,NA,0
LOC111099678,2,3,1,0.542829619665355,1.76836025733134,1.22553063766598,4.27935386653387,1.39992376328021,-2.87943010325365,NA,NA,NA,0
LOC111099692,7,6,-1,75.8762656616117,78.2873490569216,2.41108339530994,9.91283314731452,9.07690719897286,-0.835925948341657,NA,NA,NA,0
LOC111099696,1,2,1,65.9986759198627,74.857104542399,8.85842862253627,3.052498,4.53248247394636,1.47998447394636,NA,NA,NA,0
LOC111099706,1,2,1,0.281066897282718,0.301032521383648,0.0199656241009301,1.89741731148492,1.96294541608662,0.0655281046017011,NA,NA,NA,0
LOC111099711,3,1,-2,0.197300055433109,0.187788658356256,-0.0095113970768535,1.39367571492805,0.95798985527578,-0.435685859652274,NA,NA,NA,0
LOC111099721,3,4,1,0.512570411357712,0.849658424945448,0.337088013587736,3.86151619746447,4.80723348751441,0.945717290049942,NA,NA,NA,0
LOC111099722,1,2,1,80.9628852281116,79.8883141347687,-1.07457109334287,23.29402275,20.8313329039935,-2.4626898460065,NA,NA,NA,0
LOC111099737,5,6,1,61.8603932873805,65.5518802246072,3.69148693722668,6.86841311624569,7.68753227482778,0.819119158582084,NA,NA,NA,0
LOC111099747,4,5,1,0.481370307603797,0.416476998953696,-0.0648933086501015,7.88894870783824,5.87349210680976,-2.01545660102847,NA,NA,NA,0
LOC111099759,1,0,-1,9.84976398393962,9.4865299063714,-0.363234077568221,0.678653322199382,0,-0.678653322199382,NA,NA,NA,0
LOC111099766,2,1,-1,39.3135601159758,39.5643860307701,0.250825914794341,10.1723672815315,10.4994168333333,0.327049551801801,NA,NA,NA,0
LOC111099767,0,1,1,23.9001590787336,19.4090914110657,-4.49106766766785,0,0.0563180910270672,0.0563180910270672,NA,NA,NA,0
LOC111099781,3,4,1,50.480289891013,54.5268779504492,4.04658805943622,6.46668880410448,7.01318419371891,0.546495389614422,NA,NA,NA,0
LOC111099817,1,0,-1,11.8740232622024,24.5914277547869,12.7174044925845,0.39891375,0,-0.39891375,NA,NA,NA,0
LOC111099854,1,2,1,29.7620570503843,38.8221103615942,9.06005331120983,1.9204736809593,3.05208163533592,1.13160795437662,NA,NA,NA,0
LOC111099870,7,8,1,77.7624507606692,75.1793694890702,-2.58308127159896,5.49715966986237,5.18024988994299,-0.316909779919382,NA,NA,NA,0
LOC111099886,5,4,-1,69.8435616336675,74.3512966768385,4.50773504317098,4.47860112130402,4.36400021183978,-0.114600909464239,NA,NA,NA,0
LOC111099893,1,2,1,7.79952870351745,7.45226136264479,-0.347267340872655,0.134394154882155,1.62580175589226,1.4914076010101,NA,NA,NA,0
LOC111099895,2,3,1,3.15198592057649,3.81060338874226,0.658617468165762,3.54972502469636,2.86980808299595,-0.679916941700407,NA,NA,NA,0
LOC111099899,3,2,-1,1.85485465717815,4.82181282515798,2.96695816797983,1.02595632484361,1.11105935495127,0.0851030301076625,NA,NA,NA,0
LOC111099903,1,2,1,0.526725873015872,2.26452036212625,1.73779448911037,0.746547113821138,2.01795836824106,1.27141125441992,NA,NA,NA,0
LOC111099905,0,4,4,10.5839721818597,6.19150755601716,-4.39246462584259,0,1.35207603655419,1.35207603655419,NA,NA,NA,0
LOC111099911,3,4,1,59.7281815926907,73.9722623837706,14.2440807910799,1.40639212999225,1.95899974602559,0.552607616033346,NA,NA,NA,0
LOC111099912,1,0,-1,3.76995953886461,4.15380130047081,0.383841761606197,0.7908875,0,-0.7908875,NA,NA,NA,0
LOC111099920,1,2,1,3.27400570751388,2.79009285971721,-0.483912847796671,2.55960177532512,1.99738712947753,-0.562214645847596,NA,NA,NA,0
LOC111099929,5,8,3,15.1633432417381,44.712344226988,29.5490009852498,4.33970443681827,10.9862484405004,6.64654400368212,44774739,44774741,50,7
LOC111099929,5,8,3,15.1633432417381,44.712344226988,29.5490009852498,4.33970443681827,10.9862484405004,6.64654400368212,44793432,44793434,56,7
LOC111099929,5,8,3,15.1633432417381,44.712344226988,29.5490009852498,4.33970443681827,10.9862484405004,6.64654400368212,44793890,44793892,67,7
LOC111099929,5,8,3,15.1633432417381,44.712344226988,29.5490009852498,4.33970443681827,10.9862484405004,6.64654400368212,44793911,44793913,69,7
LOC111099929,5,8,3,15.1633432417381,44.712344226988,29.5490009852498,4.33970443681827,10.9862484405004,6.64654400368212,44794486,44794488,59,7
LOC111099929,5,8,3,15.1633432417381,44.712344226988,29.5490009852498,4.33970443681827,10.9862484405004,6.64654400368212,44794562,44794564,58,7
LOC111099929,5,8,3,15.1633432417381,44.712344226988,29.5490009852498,4.33970443681827,10.9862484405004,6.64654400368212,44796759,44796761,50,7
LOC111099930,1,0,-1,12.903321099161,6.06611378230836,-6.83720731685268,0.022320038164002,0,-0.022320038164002,NA,NA,NA,0
LOC111099955,2,1,-1,2.98427196073004,0.496991333664518,-2.48728062706552,4.72377609275184,0.847657427518427,-3.87611866523341,NA,NA,NA,0
LOC111099963,1,2,1,0.374898398289693,0.77986197577151,0.404963577481817,4.7042169399199,4.13722026869159,-0.566996671228312,NA,NA,NA,0
LOC111099967,1,2,1,11.4925956022727,26.690623335119,15.1980277328463,4.04054228320656,6.57061027472207,2.53006799151551,NA,NA,NA,0
LOC111099980,8,12,4,65.668708736618,63.5863034375972,-2.08240529902081,8.02377988448773,5.60565073660414,-2.4181291478836,NA,NA,NA,0
LOC111099987,2,4,2,0.349726675859909,0.335284986645249,-0.01444168921466,4.27684210086108,4.65603878350555,0.379196682644469,NA,NA,NA,0
LOC111099995,3,5,2,62.4532242734438,65.865940051336,3.41271577789216,10.3919917729053,9.28021527466472,-1.1117764982406,NA,NA,NA,0
LOC111099999,2,0,-2,38.6256353266476,21.1154869340336,-17.510148392614,1.14609768157182,0,-1.14609768157182,NA,NA,NA,0
LOC111100005,1,2,1,1.11946981340275,4.05779062531172,2.93832081190897,0.73912421770335,0.979132098763955,0.240007881060606,NA,NA,NA,0
LOC111100010,4,3,-1,32.4518108960486,42.2857914697583,9.8339805737096,2.92158218158977,4.56230048751332,1.64071830592356,NA,NA,NA,0
LOC111100011,2,3,1,5.10242689402832,7.07440641994974,1.97197952592142,5.60137363542658,6.95483914018395,1.35346550475737,NA,NA,NA,0
LOC111100018,1,2,1,3.32710826699084,3.55334922464677,0.226240957655931,1.46277602820334,1.95851438091922,0.495738352715877,NA,NA,NA,0
LOC111100020,2,1,-1,2.78868800382589,2.77383721069564,-0.0148507931302495,0.1546930897929,0.00667981582840237,-0.148013273964497,NA,NA,NA,0
LOC111100026,3,8,5,46.6993691511221,35.6644580879592,-11.0349110631629,1.84086908849932,6.24826835744128,4.40739926894196,NA,NA,NA,0
LOC111100034,5,4,-1,72.7073633268938,71.3307434951229,-1.37661983177084,14.0248432685293,14.7403292378046,0.715485969275283,NA,NA,NA,0
LOC111100057,2,1,-1,1.48717300383436,3.66884040780886,2.1816674039745,1.09275695704359,0.141870833333333,-0.950886123710254,NA,NA,NA,0
LOC111100078,4,3,-1,13.672451997619,5.15945041805556,-8.51300157956349,2.65770983595388,3.99043273672257,1.3327229007687,NA,NA,NA,0
LOC111100093,2,1,-1,0.266348528274193,0.259534301333333,-0.00681422694086015,15.5171707367814,14.6244625843475,-0.892708152433872,NA,NA,NA,0
LOC111100094,2,1,-1,0.494618249151512,0.247227414380541,-0.247390834770971,2.14692819858156,3.8971225,1.75019430141844,NA,NA,NA,0
LOC111100100,1,2,1,14.1043658058111,22.0684115409088,7.96404573509771,2.131543219593,1.64447726433586,-0.48706595525714,NA,NA,NA,0
