gene_name,difference,males_controls_max_transcript_counts,males_exposed_max_transcript_counts,GO,p.value,product
NA,NA,NA,NA,GO:0023052,4.9e-09,NA
LOC111125672,1,1,2,GO:0048856,8.3e-09,low-density lipoprotein receptor-related protein 2-like
LOC111125673,1,2,3,GO:0048856,8.3e-09,prolow-density lipoprotein receptor-related protein 1-like
LOC111126248,1,1,2,GO:0048856,8.3e-09,low-density lipoprotein receptor-related protein 4-like
LOC111100100,1,1,2,GO:0007010,1.9e-08,uncharacterized LOC111100100
LOC111100144,2,1,3,GO:0007010,1.9e-08,uncharacterized LOC111100144
LOC111100564,1,1,2,GO:0007010,1.9e-08,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111101858,1,0,1,GO:0007010,1.9e-08,ankyrin-1-like
LOC111102281,1,0,1,GO:0007010,1.9e-08,receptor-interacting serine/threonine-protein kinase 4-like
LOC111103099,1,1,2,GO:0007010,1.9e-08,wiskott-Aldrich syndrome protein family member 2-like
LOC111103219,1,0,1,GO:0007010,1.9e-08,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like
LOC111104885,1,0,1,GO:0007010,1.9e-08,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111105480,2,1,3,GO:0007010,1.9e-08,uncharacterized LOC111105480
LOC111110817,2,1,3,GO:0007010,1.9e-08,ankyrin repeat domain-containing protein 17-like
LOC111112744,2,4,6,GO:0007010,1.9e-08,interferon alpha-inducible protein 27-like protein 2B
LOC111113056,1,3,4,GO:0007010,1.9e-08,uncharacterized LOC111113056
LOC111113858,1,0,1,GO:0007010,1.9e-08,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111123806,2,5,7,GO:0007010,1.9e-08,la-related protein 4-like
LOC111133218,1,5,6,GO:0007010,1.9e-08,uncharacterized LOC111133218
LOC111133364,1,1,2,GO:0007010,1.9e-08,uncharacterized LOC111133364
LOC111133968,1,0,1,GO:0007010,1.9e-08,receptor-interacting serine/threonine-protein kinase 4-like
LOC111134328,2,4,6,GO:0007010,1.9e-08,protein kinase C iota type-like
LOC111134349,1,1,2,GO:0007010,1.9e-08,uncharacterized LOC111134349
LOC111135874,1,1,2,GO:0007010,1.9e-08,uncharacterized LOC111135874
LOC111136801,2,1,3,GO:0007010,1.9e-08,uncharacterized LOC111136801
LOC111118463,1,1,2,GO:0032502,2.4e-08,uncharacterized LOC111118463
NA,NA,NA,NA,GO:0035556,4.0e-08,NA
LOC111101006,1,3,4,GO:0007154,5.7e-08,uncharacterized LOC111101006
LOC111109455,1,2,3,GO:0007154,5.7e-08,uncharacterized LOC111109455
LOC111121830,3,1,4,GO:0007154,5.7e-08,sodium/calcium exchanger 3-like
LOC111121880,2,1,3,GO:0007154,5.7e-08,sodium/calcium exchanger 3-like
LOC111129088,5,10,15,GO:0007154,5.7e-08,sodium/calcium exchanger 2-like
NA,NA,NA,NA,GO:0016043,6.5e-08,NA
NA,NA,NA,NA,GO:0065007,7.2e-08,NA
NA,NA,NA,NA,GO:0050789,7.2e-08,NA
LOC111099151,1,1,2,GO:0007165,1.0e-07,dual 3'
LOC111099157,1,14,15,GO:0007165,1.0e-07,rap1 GTPase-activating protein 1-like
LOC111099486,2,0,2,GO:0007165,1.0e-07,uncharacterized LOC111099486
LOC111099673,1,0,1,GO:0007165,1.0e-07,uncharacterized LOC111099673
LOC111100100,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111100100
LOC111100140,1,0,1,GO:0007165,1.0e-07,type II inositol 1
LOC111100144,2,1,3,GO:0007165,1.0e-07,uncharacterized LOC111100144
LOC111100564,1,1,2,GO:0007165,1.0e-07,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111101098,1,0,1,GO:0007165,1.0e-07,uncharacterized LOC111101098
LOC111101858,1,0,1,GO:0007165,1.0e-07,ankyrin-1-like
LOC111102281,1,0,1,GO:0007165,1.0e-07,receptor-interacting serine/threonine-protein kinase 4-like
LOC111102983,1,0,1,GO:0007165,1.0e-07,protein draper-like
LOC111103028,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111103028
LOC111103219,1,0,1,GO:0007165,1.0e-07,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like
LOC111103605,1,7,8,GO:0007165,1.0e-07,uncharacterized LOC111103605
LOC111104190,2,7,9,GO:0007165,1.0e-07,SH3 domain-containing kinase-binding protein 1-like
LOC111104227,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111104227
LOC111104767,1,2,3,GO:0007165,1.0e-07,toll-interacting protein-like
LOC111104835,4,9,13,GO:0007165,1.0e-07,arf-GAP with GTPase
LOC111104885,1,0,1,GO:0007165,1.0e-07,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111105285,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111105285
LOC111105420,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111105420
LOC111105480,2,1,3,GO:0007165,1.0e-07,uncharacterized LOC111105480
LOC111105823,1,0,1,GO:0007165,1.0e-07,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like
LOC111106389,1,2,3,GO:0007165,1.0e-07,very low-density lipoprotein receptor-like
LOC111106889,1,1,2,GO:0007165,1.0e-07,nascent polypeptide-associated complex subunit alpha-like
LOC111108653,1,5,6,GO:0007165,1.0e-07,ras-like protein 3
LOC111109202,1,0,1,GO:0007165,1.0e-07,uncharacterized LOC111109202
LOC111109414,1,4,5,GO:0007165,1.0e-07,ankyrin repeat and SOCS box protein 2-like
LOC111109664,1,4,5,GO:0007165,1.0e-07,uncharacterized LOC111109664
LOC111110083,5,5,10,GO:0007165,1.0e-07,SLIT-ROBO Rho GTPase-activating protein 1-like
LOC111110817,2,1,3,GO:0007165,1.0e-07,ankyrin repeat domain-containing protein 17-like
LOC111111311,1,5,6,GO:0007165,1.0e-07,nostrin-like
LOC111111365,1,3,4,GO:0007165,1.0e-07,uncharacterized LOC111111365
LOC111111520,2,3,5,GO:0007165,1.0e-07,rho GTPase-activating protein 21-like
LOC111111946,1,2,3,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase delta-like
LOC111112028,3,3,6,GO:0007165,1.0e-07,ras-associated and pleckstrin homology domains-containing protein 1-like
LOC111112216,1,3,4,GO:0007165,1.0e-07,ras-related protein Ral-A-like
LOC111112706,1,2,3,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase T-like
LOC111112744,2,4,6,GO:0007165,1.0e-07,interferon alpha-inducible protein 27-like protein 2B
LOC111112922,1,2,3,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase alpha-like
LOC111113019,1,2,3,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase T-like
LOC111113056,1,3,4,GO:0007165,1.0e-07,uncharacterized LOC111113056
LOC111113430,1,2,3,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111113858,1,0,1,GO:0007165,1.0e-07,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC111114500,1,1,2,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111115100,1,1,2,GO:0007165,1.0e-07,aminopeptidase N-like
LOC111115259,2,2,4,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111115765,1,1,2,GO:0007165,1.0e-07,multiple epidermal growth factor-like domains protein 10
LOC111115882,1,2,3,GO:0007165,1.0e-07,cell death abnormality protein 1-like
LOC111116128,1,2,3,GO:0007165,1.0e-07,ankyrin-1-like
LOC111116632,1,2,3,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase alpha-like
LOC111117400,1,2,3,GO:0007165,1.0e-07,protein draper-like
LOC111117631,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111117631
LOC111117764,1,2,3,GO:0007165,1.0e-07,protein FAM76B-like
LOC111117968,3,2,5,GO:0007165,1.0e-07,neuronal acetylcholine receptor subunit alpha-5-like
LOC111119286,1,2,3,GO:0007165,1.0e-07,uncharacterized LOC111119286
LOC111119398,1,1,2,GO:0007165,1.0e-07,dual 3'
LOC111119401,1,5,6,GO:0007165,1.0e-07,oncostatin-M-specific receptor subunit beta-like
LOC111119490,1,2,3,GO:0007165,1.0e-07,dual 3'
LOC111119530,2,6,8,GO:0007165,1.0e-07,uncharacterized LOC111119530
LOC111119720,1,1,2,GO:0007165,1.0e-07,multiple epidermal growth factor-like domains protein 11
LOC111119769,1,1,2,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase kappa-like
LOC111120008,1,1,2,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase kappa-like
LOC111120050,1,2,3,GO:0007165,1.0e-07,speract receptor-like
LOC111120921,1,2,3,GO:0007165,1.0e-07,tuberin-like
LOC111121353,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111121353
LOC111121708,1,1,2,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase kappa-like
LOC111121730,1,1,2,GO:0007165,1.0e-07,rho GTPase-activating protein 24-like
LOC111122316,3,17,20,GO:0007165,1.0e-07,ankyrin-2-like
LOC111123483,2,10,12,GO:0007165,1.0e-07,uncharacterized LOC111123483
LOC111124666,1,5,6,GO:0007165,1.0e-07,cGMP-dependent 3'
LOC111124864,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111124864
LOC111125677,1,2,3,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase F-like
LOC111126023,1,2,3,GO:0007165,1.0e-07,ankyrin-2-like
LOC111126381,2,2,4,GO:0007165,1.0e-07,type II inositol 3
LOC111126852,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111126852
LOC111127981,1,10,11,GO:0007165,1.0e-07,serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform-like
LOC111128821,1,6,7,GO:0007165,1.0e-07,high affinity cAMP-specific and IBMX-insensitive 3'
LOC111128883,1,7,8,GO:0007165,1.0e-07,casein kinase I-like
LOC111128933,1,6,7,GO:0007165,1.0e-07,high affinity cAMP-specific and IBMX-insensitive 3'
LOC111129055,2,7,9,GO:0007165,1.0e-07,inositol-trisphosphate 3-kinase B-like
LOC111129300,1,4,5,GO:0007165,1.0e-07,5'-AMP-activated protein kinase subunit beta-1-like
LOC111129352,1,4,5,GO:0007165,1.0e-07,endoplasmic reticulum aminopeptidase 1-like
LOC111130185,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111130185
LOC111130194,1,6,7,GO:0007165,1.0e-07,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111130239,1,1,2,GO:0007165,1.0e-07,inositol-tetrakisphosphate 1-kinase-like
LOC111130476,1,1,2,GO:0007165,1.0e-07,leucine-rich repeat-containing protein 28-like
LOC111131768,1,4,5,GO:0007165,1.0e-07,SPARC-related modular calcium-binding protein 1-like
LOC111132115,2,4,6,GO:0007165,1.0e-07,loricrin-like
LOC111132147,2,6,8,GO:0007165,1.0e-07,ras-like protein 3
LOC111132214,2,2,4,GO:0007165,1.0e-07,angiopoietin-1 receptor-like
LOC111132223,1,2,3,GO:0007165,1.0e-07,soluble guanylate cyclase 88E-like
LOC111133218,1,5,6,GO:0007165,1.0e-07,uncharacterized LOC111133218
LOC111133968,1,0,1,GO:0007165,1.0e-07,receptor-interacting serine/threonine-protein kinase 4-like
LOC111134349,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111134349
LOC111134445,1,3,4,GO:0007165,1.0e-07,uncharacterized LOC111134445
LOC111134509,1,5,6,GO:0007165,1.0e-07,adenylate cyclase type 2-like
LOC111134772,1,16,17,GO:0007165,1.0e-07,cGMP-specific 3'
LOC111134790,2,11,13,GO:0007165,1.0e-07,loricrin-like
LOC111135002,1,7,8,GO:0007165,1.0e-07,NF-kappa-B inhibitor-interacting Ras-like protein 1
LOC111135781,1,1,2,GO:0007165,1.0e-07,ras-related and estrogen-regulated growth inhibitor-like
LOC111135874,1,1,2,GO:0007165,1.0e-07,uncharacterized LOC111135874
LOC111136801,2,1,3,GO:0007165,1.0e-07,uncharacterized LOC111136801
LOC111137642,1,0,1,GO:0007165,1.0e-07,neuronal acetylcholine receptor subunit alpha-6-like
LOC111137979,1,1,2,GO:0007165,1.0e-07,ras-related and estrogen-regulated growth inhibitor-like
NA,NA,NA,NA,GO:0071840,1.4e-07,NA
LOC111099781,1,3,4,GO:0016192,1.8e-07,syntaxin-7-like
LOC111103287,4,8,12,GO:0016192,1.8e-07,phosphatidylinositol-binding clathrin assembly protein LAP-like
LOC111105831,1,1,2,GO:0016192,1.8e-07,B-cell receptor-associated protein 31-like
LOC111110231,1,0,1,GO:0016192,1.8e-07,B-cell receptor-associated protein 31-like
LOC111118257,1,6,7,GO:0016192,1.8e-07,ras-related protein Rab-26-like
LOC111120518,2,2,4,GO:0016192,1.8e-07,protein transport protein Sec31A-like
LOC111120588,1,2,3,GO:0016192,1.8e-07,jouberin-like
LOC111128536,1,2,3,GO:0016192,1.8e-07,uncharacterized LOC111128536
